,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
52,CX-30,2020,18599,Manual,31875,Petrol,47.9,2.0,mazda,25960335
53,Grandland X,2019,12499,Manual,69364,Diesel,56.5,1.5,vauxhall,30466647
54,Duster,2019,12849,Manual,50064,Petrol,41.5,1.3,dacia,30480249
55,Octavia,2021,27900,Semi-Auto,29207,Diesel,56.5,2.0,skoda,30546684
56,MX-5,2021,21900,Manual,30928,Petrol,40.9,2.0,mazda,30520984
57,Passat,2017,15699,Semi-Auto,47652,Diesel,60.1,2.0,volkswagen,30476958
58,Sportage,2019,15849,Manual,32839,Petrol,34.9,1.6,kia,30299812
59,i10,2019,9663,Manual,8032,Petrol,60.1,1.0,hyundai,30531824
60,Captur,2016,10400,Manual,20407,Diesel,78.5,1.5,renault,30515543
61,Leon,2020,16354,Manual,39090,Petrol,48.7,1.5,seat,30546682
62,Captur,2015,10400,Semi-Auto,43431,Petrol,51.4,1.2,renault,30520766
63,Hatch,2021,24400,Semi-Auto,16058,Petrol,48.7,2.0,mini,30515545
64,R8,2018,89990,Automatic,22300,Petrol,23.0,5.2,audi,30154155
65,Pulsar,2014,7490,Manual,41978,Petrol,56.5,1.2,nissan,30359500
66,Octavia,2020,14299,Manual,44824,Petrol,51.4,1.5,skoda,30447965
67,Model 3,2019,24849,Automatic,29729,Electric,0.0,0.0,tesla,30551711
68,DS3,2013,5490,Manual,50874,Petrol,40.4,1.6,citroen,30523892
69,Fiesta,2013,5990,Manual,63424,Petrol,65.7,1.0,ford,30523893
70,Swift,2013,5450,Manual,64150,Petrol,56.5,1.2,suzuki,30473771
71,Golf,2014,10990,Automatic,64936,Petrol,56.5,1.4,volkswagen,30398661
72,A1,2011,7450,Manual,74583,Petrol,53.3,1.4,audi,30411803
73,Qashqai,2013,7490,Manual,77777,Diesel,53.3,1.5,nissan,30476479
74,Focus,2015,7990,Automatic,78758,Petrol,44.8,1.6,ford,30435691
75,Golf,2010,5990,Automatic,79491,Diesel,62.8,1.6,volkswagen,30523896
76,Golf,2011,5990,Automatic,81597,Diesel,68.9,1.6,volkswagen,30473770
77,Sportage,2019,17899,Automatic,55436,Petrol,32.5,1.6,kia,30181511
78,Corsa,2021,13549,Manual,17626,Petrol,54.3,1.2,vauxhall,30514609
79,Golf,2013,7990,Manual,83855,Petrol,53.3,1.4,volkswagen,30199785
80,Astra,2016,6990,Manual,85262,Petrol,64.2,1.0,vauxhall,30567239
81,Fiesta,2016,6900,Manual,86050,Petrol,62.8,1.0,ford,30497009
82,Fiesta,2017,6990,Manual,89289,Petrol,65.7,1.0,ford,30435690
83,Polo,2012,5290,Manual,94054,Petrol,51.4,1.2,volkswagen,30523894
84,Citigo,2014,3990,Manual,94568,Petrol,62.8,1.0,skoda,30154160
85,Hatch,2014,7690,Manual,95135,Petrol,49.6,2.0,mini,30154169
86,Golf,2011,5250,Automatic,99999,Diesel,62.8,1.6,volkswagen,30561714
87,Juke,2014,5190,Manual,108329,Petrol,47.1,1.6,nissan,30497008
88,Jazz,2013,4290,Manual,114271,Petrol,51.4,1.3,honda,30497010
89,T-Cross,2020,14849,Manual,56769,Petrol,48.7,1.0,volkswagen,30551666
90,C Class,2016,17099,Semi-Auto,68607,Diesel,64.2,2.1,mercedes-benz,30396710
91,Yaris,2018,13995,Automatic,8608,Petrol,47.1,1.5,toyota,30261346
92,Golf,2020,17495,Manual,16913,Petrol,47.9,1.5,volkswagen,30341901
93,Aygo,2020,10995,Manual,19405,Petrol,57.7,1.0,toyota,30451009
94,Aygo,2018,10995,Automatic,22091,Petrol,67.3,1.0,toyota,30451007
95,V40,2019,17995,Automatic,30327,Petrol,47.9,1.5,volvo,30261347
96,RS4,2014,31995,Automatic,32180,Petrol,26.4,4.2,audi,30048188
97,Clio,2020,16499,Semi-Auto,18718,Petrol,45.6,1.3,renault,30240246
98,Duster,2019,13899,Manual,32417,Diesel,57.6,1.5,dacia,30360656
99,i10,2015,6995,Manual,44241,Petrol,57.6,1.2,hyundai,29776047
100,Range Rover Sport,2018,41995,Automatic,47557,Diesel,40.4,3.0,land rover,30377336
101,500X,2017,9995,Manual,50059,Petrol,47.1,1.4,fiat,29908161
102,XC60,2016,17995,Automatic,51510,Diesel,49.6,2.4,volvo,30451005
103,Range Rover Sport,2014,32995,Automatic,55800,Petrol,22.1,5.0,land rover,27504775
104,Kamiq,2023,21450,Manual,1500,Petrol,50.4,1.5,skoda,30481966
105,Fabia,2022,17950,Manual,3193,Petrol,55.4,1.0,skoda,30020784
106,Octavia,2023,24950,Manual,3600,Diesel,67.3,2.0,skoda,30420747
107,Formentor,2022,26950,Automatic,4000,Petrol,42.2,1.5,cupra,29293947
108,Captur,2017,11199,Automatic,45849,Diesel,74.3,1.5,renault,30438115
109,Aygo,2018,8999,Manual,31874,Petrol,56.5,1.0,toyota,30476779
110,Fabia,2019,14450,Manual,4616,Petrol,60.1,1.0,skoda,30526664
111,Formentor,2022,33950,Automatic,4870,Petrol,33.2,2.0,cupra,28965178
112,Formentor,2023,31450,Automatic,4925,Petrol,36.2,2.0,cupra,30494549
113,Karoq,2022,24450,Manual,5005,Petrol,48.7,1.0,skoda,29592502
114,Karoq,2022,20450,Manual,5006,Petrol,47.9,1.0,skoda,30307648
115,Superb,2022,27950,Automatic,5112,Petrol,42.8,1.5,skoda,30311756
116,Tarraco,2020,23250,Manual,6989,Petrol,38.7,1.5,seat,30471103
117,Formentor,2022,26450,Automatic,8590,Petrol,42.2,1.5,cupra,29550359
118,3 Series,2019,25549,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
119,Qashqai,2019,12049,Manual,64744,Diesel,53.3,1.5,nissan,30498632
120,Kamiq,2021,17950,Manual,9475,Petrol,50.4,1.0,skoda,30525237
121,Leon,2020,14950,Manual,9588,Petrol,53.3,1.0,seat,30099808
122,Leon,2018,16950,Automatic,11293,Petrol,56.5,1.4,seat,29871195
123,Fabia,2022,18950,Manual,11528,Petrol,51.4,1.0,skoda,30406288
124,Kamiq,2020,19450,Automatic,11644,Petrol,47.1,1.5,skoda,30453391
125,Ateca,2021,23450,Automatic,12652,Petrol,41.5,1.5,seat,30289117
126,Kamiq,2021,19950,Automatic,12818,Petrol,48.7,1.0,skoda,30176069
127,Arona,2021,17750,Manual,12955,Petrol,53.3,1.0,seat,30123244
128,Ibiza,2021,15350,Manual,14653,Petrol,51.4,1.0,seat,30099806
129,Superb,2022,25950,Automatic,15000,Diesel,57.7,2.0,skoda,30481967
130,Korando,2019,21049,Semi-Auto,16601,Diesel,41.5,1.6,ssangyong,30531348
131,S-MAX,2020,29049,Semi-Auto,16879,Diesel,43.5,2.0,ford,30256003
132,Arona,2020,16950,Automatic,15988,Petrol,47.1,1.0,seat,30280123
133,Ateca,2021,20850,Manual,16181,Petrol,42.8,1.5,seat,29877172
134,Arona,2021,15450,Manual,16786,Petrol,51.4,1.0,seat,30471104
135,Octavia,2021,17950,Manual,17302,Petrol,50.4,1.5,skoda,30112923
136,Ateca,2020,20950,Manual,17368,Petrol,43.5,1.5,seat,30342572
137,Karoq,2020,25450,Manual,18219,Petrol,43.5,1.5,skoda,30276441
138,Ateca,2019,16750,Manual,18496,Petrol,46.3,1.0,seat,30289119
139,Leon,2021,20450,Manual,18580,Petrol,48.7,1.5,seat,30280129
140,Ibiza,2021,15450,Manual,19043,Petrol,51.4,1.0,seat,30342570
141,Leon,2021,29950,Automatic,19092,Petrol,37.2,2.0,cupra,30228875
142,Kuga,2018,15199,Manual,49740,Petrol,39.2,1.5,ford,30407601
143,V60,2019,19949,Semi-Auto,43441,Diesel,61.4,2.0,volvo,30354603
144,Kodiaq,2020,26950,Automatic,19492,Petrol,36.7,1.5,skoda,30316794
145,Ateca,2020,20450,Manual,19997,Petrol,43.5,1.5,seat,30371796
146,Citigo,2019,9650,Manual,22375,Petrol,67.3,1.0,skoda,30378081
147,Octavia,2019,23950,Automatic,23555,Diesel,43.5,2.0,skoda,29788555
148,Karoq,2021,22950,Automatic,23979,Petrol,42.8,1.5,skoda,30238945
149,Octavia,2017,16950,Manual,25634,Petrol,43.5,2.0,skoda,30525236
150,Karoq,2019,24450,Automatic,26015,Petrol,41.5,1.5,skoda,30307646
151,Leon,2020,15250,Manual,26620,Petrol,49.6,1.5,seat,30481960
152,Ateca,2021,20450,Manual,27616,Petrol,42.8,1.5,seat,30414919
153,Q5,2019,28799,Semi-Auto,35792,Diesel,38.2,2.0,audi,30466741
154,3008,2019,18299,Manual,19399,Petrol,44.1,1.2,peugeot,30448066
155,Kodiaq,2020,24950,Automatic,32071,Petrol,36.7,1.5,skoda,30398781
156,Formentor,2021,23750,Automatic,37504,Petrol,42.2,1.5,cupra,30481963
157,Leon,2018,20750,Automatic,37608,Petrol,39.2,2.0,seat,30366050
158,Karoq,2018,18950,Automatic,39178,Petrol,50.4,1.5,skoda,30020785
159,Leon,2016,11450,Manual,43936,Petrol,60.1,1.4,seat,30271861
160,Ateca,2018,14450,Manual,45106,Petrol,53.3,1.4,seat,30406285
161,Ateca,2020,22450,Automatic,45814,Petrol,40.9,1.5,seat,30311750
162,Citigo,2015,6450,Manual,52956,Petrol,67.3,1.0,skoda,30481968
163,Karoq,2018,16950,Automatic,56875,Petrol,50.4,1.5,skoda,30406287
164,Kodiaq,2018,17450,Automatic,88232,Diesel,56.5,2.0,skoda,30481964
165,A3,2018,13999,Manual,47162,Diesel,49.6,1.6,audi,30392960
166,Vitara,2017,13999,Automatic,52192,Petrol,49.6,1.6,suzuki,30447857
167,Tucson,2022,31995,Semi-Auto,3785,Hybrid,48.7,1.6,hyundai,30497751
168,2008,2020,22300,Semi-Auto,5438,Petrol,47.1,1.2,peugeot,30559562
169,i30,2023,31995,Manual,7386,Petrol,35.3,2.0,hyundai,30092621
170,IONIQ,2021,18995,Automatic,10022,Hybrid,62.8,1.6,hyundai,30565168
171,i10,2022,13895,Manual,11276,Petrol,56.5,1.0,hyundai,30391411
172,Fiesta,2019,14695,Semi-Auto,18785,Petrol,49.6,1.0,ford,30565172
173,1 Series,2018,18995,Semi-Auto,21836,Petrol,36.7,1.5,bmw,30302763
174,Clio,2018,9450,Manual,28393,Petrol,46.3,0.9,renault,30458238
175,T-Roc,2020,18995,Manual,38829,Petrol,44.8,1.5,volkswagen,30118791
176,Kona,2023,22495,Manual,297,Hybrid,46.3,1.0,hyundai,30559561
177,HS,2021,19249,Manual,7994,Petrol,38.2,1.5,mg,30348639
178,Grand C4 Picasso,2018,18549,Semi-Auto,17365,Diesel,68.9,1.6,citroen,30531426
179,IONIQ,2020,17995,Automatic,10133,Hybrid,62.8,1.6,hyundai,30414095
180,Karoq,2021,21495,Automatic,10523,Petrol,44.8,1.5,skoda,30073100
181,i10,2021,13495,Semi-Auto,12997,Petrol,50.4,1.0,hyundai,30302761
182,Kona,2022,21250,Automatic,13374,Hybrid,57.7,1.6,hyundai,30319554
183,Insignia,2021,19495,Manual,15035,Diesel,60.1,1.5,vauxhall,30522415
184,Captur,2020,11995,Manual,16366,Petrol,52.3,0.9,renault,30386709
185,Bayon,2022,16995,Manual,21000,Hybrid,53.3,1.0,hyundai,29452623
186,Sportage,2022,21495,Automatic,26799,Hybrid,50.4,1.6,kia,30376023
187,Q3,2017,16495,Manual,28443,Diesel,62.8,2.0,audi,30297354
188,Fiesta,2020,13995,Manual,29326,Petrol,54.3,1.0,ford,30565170
189,GLA Class,2019,19999,Manual,42604,Petrol,47.1,1.6,mercedes-benz,30438181
190,A3,2017,15399,Manual,50558,Petrol,55.4,1.5,audi,30476834
191,6 Series,2018,27495,Semi-Auto,30030,Petrol,34.5,3.0,bmw,30548479
192,Fiesta,2020,13495,Manual,30579,Petrol,54.3,1.0,ford,30565173
193,i10,2017,8150,Manual,31500,Petrol,57.7,1.2,hyundai,30286880
194,CRV,2017,17995,Automatic,31509,Diesel,55.4,1.6,honda,30383513
195,Sportage,2021,19995,Automatic,34924,Hybrid,50.4,1.6,kia,30522414
196,A3,2015,10650,Manual,55055,Petrol,60.1,1.4,audi,30565166
197,Focus,2023,25000,Manual,10,Petrol,51.4,1.0,ford,30231438
198,EcoSport,2022,18900,Manual,488,Petrol,47.1,1.0,ford,30448771
199,Fiesta,2023,17900,Manual,504,Petrol,53.3,1.0,ford,30481629
200,Fiesta,2020,15100,Manual,991,Petrol,58.9,1.0,ford,30374441
201,Focus,2019,17049,Manual,18508,Petrol,60.1,1.0,ford,30373271
202,500C,2017,10199,Manual,26012,Petrol,60.1,1.2,fiat,30480270
203,Fiesta,2020,14000,Manual,3003,Petrol,55.4,1.0,ford,30555071
204,EcoSport,2020,15900,Manual,3763,Petrol,53.3,1.0,ford,30457023
205,Fiesta,2022,23000,Semi-Auto,4134,Petrol,53.3,1.0,ford,30568588
206,Focus,2022,21900,Manual,4204,Petrol,52.3,1.0,ford,30461362
207,Focus,2023,23900,Manual,4986,Petrol,51.4,1.0,ford,30568586
208,Focus,2022,23500,Manual,6006,Petrol,51.4,1.0,ford,30568587
209,Kuga,2022,30750,Automatic,6039,Hybrid,48.7,2.5,ford,30425807
210,Focus,2022,31000,Manual,6313,Petrol,35.3,2.3,ford,30149710
211,Focus,2022,32000,Manual,6842,Petrol,35.3,2.3,ford,30396149
212,Focus,2022,21700,Manual,7258,Petrol,49.6,1.0,ford,30374442
213,Karoq,2020,21299,Automatic,20433,Petrol,40.9,1.5,skoda,30123833
214,2008,2019,10699,Manual,54067,Petrol,47.1,1.2,peugeot,30557548
215,Fiesta,2021,17250,Manual,7588,Petrol,54.3,1.0,ford,30162348
216,Focus,2022,21500,Manual,8308,Petrol,53.3,1.0,ford,30396148
217,EcoSport,2021,18500,Manual,9578,Petrol,47.1,1.0,ford,30491520
218,Kuga,2022,27500,Manual,12938,Petrol,41.5,1.5,ford,30508958
219,Fiesta,2019,12500,Manual,13011,Petrol,48.7,1.1,ford,30426279
220,Focus,2018,17000,Manual,13389,Petrol,60.1,1.0,ford,27450769
221,Fiesta,2019,13900,Manual,13620,Petrol,58.9,1.0,ford,30217495
222,Fiesta,2020,13695,Manual,14158,Petrol,55.4,1.0,ford,30558307
223,Kuga,2020,26500,Automatic,14797,Hybrid,201.8,2.5,ford,30162347
224,Fiesta,2018,14750,Manual,15815,Petrol,60.1,1.0,ford,30426278
225,Mokka X,2017,10999,Manual,23054,Petrol,47.1,1.4,vauxhall,30325273
226,Qashqai,2020,16049,Manual,45154,Diesel,51.4,1.5,nissan,30167995
227,Fiesta,2020,13500,Manual,16131,Petrol,56.5,1.0,ford,30558306
228,Fiesta,2019,13200,Manual,18851,Petrol,58.9,1.0,ford,30217498
229,Fiesta,2020,13000,Manual,20900,Petrol,55.4,1.0,ford,30252176
230,Fiesta,2020,12000,Manual,26431,Petrol,55.4,1.0,ford,30558305
231,Fiesta,2019,12500,Manual,30285,Petrol,58.9,1.0,ford,30217494
232,Focus,2021,16000,Manual,48094,Diesel,62.8,1.5,ford,30228518
233,CX-3,2019,18749,Automatic,17589,Petrol,39.2,2.0,mazda,30498613
234,X3,2017,20749,Semi-Auto,48615,Diesel,54.3,2.0,bmw,29734255
235,Mondeo,2017,15100,Manual,32321,Diesel,64.2,2.0,ford,30313272
236,Tourneo Custom,2021,32000,Manual,59853,Diesel,35.3,2.0,ford,30563354
237,Eclipse Cross,2018,17499,Automatic,5741,Petrol,42.2,1.5,mitsubishi,30566526
238,C5,2019,18199,Manual,7594,Petrol,36.6,1.2,citroen,29348278
239,Arona,2019,17219,Automatic,8524,Petrol,47.1,1.0,seat,29705343
240,Focus,2019,17249,Automatic,8648,Petrol,48.7,1.0,ford,30327655
241,Renegade,2019,18745,Automatic,9727,Petrol,44.1,1.3,jeep,30327641
242,Renegade,2020,18790,Manual,11041,Petrol,42.2,1.0,jeep,29579734
243,208,2018,10599,Manual,27005,Petrol,58.9,1.2,peugeot,30466686
244,A Class,2019,17499,Semi-Auto,43046,Diesel,65.7,1.5,mercedes-benz,30447994
245,Combo Life,2019,16900,Manual,11198,Petrol,42.2,1.2,vauxhall,30472510
246,2 Series,2019,18200,Manual,12280,Petrol,40.4,1.5,bmw,30377321
247,Stonic,2019,16290,Automatic,13001,Petrol,46.3,1.0,kia,29823770
248,CX-5,2019,23839,Automatic,13220,Petrol,36.7,2.0,mazda,30472507
249,3008,2019,19590,Automatic,13504,Diesel,68.9,1.5,peugeot,28657650
250,Countryman,2019,20900,Automatic,13762,Petrol,37.2,2.0,mini,29579720
251,Combo Life,2020,17000,Manual,14022,Diesel,50.4,1.5,vauxhall,30533651
252,Grand Tourneo Connect,2019,20250,Automatic,14377,Diesel,56.6,1.5,ford,28324641
253,Caddy Maxi,2019,23990,Automatic,14696,Diesel,46.3,2.0,volkswagen,29643462
254,Qashqai,2019,18099,Manual,31559,Petrol,39.8,1.3,nissan,30546308
255,Karoq,2019,20599,Automatic,34337,Petrol,40.9,1.5,skoda,30327629
256,CX-5,2019,21695,Automatic,34390,Diesel,43.5,2.2,mazda,30352843
257,Outlander,2019,20900,Automatic,34921,Petrol,32.5,2.0,mitsubishi,30533668
258,Countryman,2018,17900,Automatic,36174,Diesel,62.8,2.0,mini,27483890
259,Outlander,2019,18550,Automatic,39077,Petrol,37.7,2.0,mitsubishi,30472508
260,Octavia,2021,23514,Manual,39368,Petrol,50.4,1.5,skoda,30533636
261,Aygo,2017,8130,Manual,41164,Petrol,68.9,1.0,toyota,30533642
262,5008,2019,23500,Automatic,41712,Diesel,56.5,1.5,peugeot,30472502
263,2 Series,2019,14599,Manual,42452,Petrol,40.9,1.5,bmw,30261338
264,2 Series,2020,19595,Automatic,42790,Petrol,50.4,1.5,bmw,30533632
265,C Class,2019,21799,Manual,42712,Diesel,64.2,1.6,mercedes-benz,30502652
266,508,2019,16799,Semi-Auto,54979,Diesel,58.9,1.5,peugeot,30456406
267,Eclipse Cross,2019,13995,Manual,45829,Petrol,40.4,1.5,mitsubishi,30533638
268,Combo Life,2019,13995,Manual,45980,Petrol,42.2,1.2,vauxhall,30533665
269,Insignia,2015,7550,Manual,46000,Petrol,53.3,1.4,vauxhall,30134692
270,Boxster,2009,21995,Manual,48900,Petrol,30.1,2.9,porsche,29996508
271,Micra,2014,5495,Manual,51000,Petrol,56.5,1.2,nissan,30533662
272,E Class,2017,29712,Automatic,51250,Petrol,33.6,3.0,mercedes-benz,28402504
273,2 Series,2019,15500,Manual,52719,Petrol,40.4,1.5,bmw,30533661
274,Galaxy,2019,18500,Manual,56548,Diesel,55.4,2.0,ford,30472506
275,2 Series,2020,22740,Automatic,59139,Petrol,38.7,1.5,bmw,30472505
276,Grand C4 Picasso,2016,8595,Manual,105000,Diesel,70.6,2.0,citroen,30533645
277,M3,2017,34299,Semi-Auto,53217,Petrol,34.0,3.0,bmw,30281352
278,Leon,2021,19999,Manual,20100,Petrol,50.4,1.5,seat,30421692
279,T-Roc,2018,17539,Manual,24557,Petrol,44.1,1.0,volkswagen,29002011
280,2 Series,2020,18095,Manual,26549,Petrol,40.4,1.5,bmw,30134719
281,Outlander,2020,22095,Automatic,26901,Petrol,32.5,2.0,mitsubishi,30147070
282,2 Series,2018,19200,Automatic,27415,Petrol,36.7,2.0,bmw,29722924
283,Doblo,2013,8200,Manual,27582,Diesel,54.3,1.6,fiat,30566527
284,Renegade,2020,16959,Manual,27911,Petrol,40.4,1.0,jeep,30472509
285,Eclipse Cross,2019,16895,Automatic,28199,Petrol,40.4,1.5,mitsubishi,30434376
286,2 Series,2019,17750,Manual,28341,Petrol,51.4,1.5,bmw,30327648
287,Range Rover Evoque,2018,20849,Automatic,34513,Diesel,57.7,2.0,land rover,30514575
288,Corsa,2019,10599,Manual,25998,Petrol,44.8,1.4,vauxhall,30424902
289,Tourneo Connect,2019,18749,Automatic,28506,Diesel,44.1,1.5,ford,27070194
290,Outlander,2020,22200,Automatic,29948,Petrol,32.5,2.0,mitsubishi,30550085
291,2 Series,2018,15100,Manual,30754,Petrol,40.9,1.5,bmw,30533635
292,i10,2021,14049,Manual,12153,Petrol,52.3,1.0,hyundai,30010066
293,3008,2019,19799,Manual,24296,Petrol,44.1,1.2,peugeot,30447800
294,5008,2019,23099,Automatic,38622,Diesel,56.5,1.5,peugeot,30434363
295,Grandland X,2018,11990,Manual,39068,Petrol,44.1,1.2,vauxhall,29977560
296,Meriva,2015,6695,Manual,39157,Diesel,64.2,1.6,vauxhall,30002384
297,Combo Life,2019,12995,Manual,39166,Petrol,42.2,1.2,vauxhall,30327664
298,2 Series,2019,16599,Manual,39328,Petrol,40.4,1.5,bmw,30171928
299,108,2019,8399,Manual,10450,Petrol,68.9,1.0,peugeot,30280341
300,Mondeo,2017,10749,Manual,67659,Diesel,68.9,2.0,ford,30308111
301,Octavia,2020,15932,Automatic,39592,Petrol,56.5,1.5,skoda,29823738
302,Tourneo Custom,2019,29399,Manual,41232,Diesel,32.5,2.0,ford,30036037
303,2 Series,2019,18936,Automatic,41587,Petrol,39.2,1.5,bmw,30327650
304,Combo Life,2020,14995,Manual,41826,Diesel,50.4,1.5,vauxhall,30566524
305,Outlander,2019,18698,Automatic,43091,Petrol,37.7,2.0,mitsubishi,30327662
306,Arona,2019,14720,Automatic,44240,Petrol,47.1,1.0,seat,30397529
307,208,2021,17749,Manual,13193,Petrol,56.5,1.2,peugeot,30251125
308,X1,2016,14749,Manual,59303,Diesel,68.9,2.0,bmw,30384491
309,i800,2019,19495,Manual,47470,Diesel,31.7,2.5,hyundai,30550087
310,A Class,2019,20149,Semi-Auto,9115,Diesel,68.9,1.5,mercedes-benz,30460819
311,XE,2019,21549,Automatic,19247,Diesel,42.8,2.0,jaguar,30280346
312,Kodiaq,2018,18395,Automatic,57371,Petrol,34.0,1.5,skoda,29823774
313,E Class,2017,19495,Automatic,58000,Diesel,65.7,1.9,mercedes-benz,30533649
314,Tiguan Allspace,2019,21599,Automatic,64019,Diesel,39.2,2.0,volkswagen,30327631
315,5008,2020,17895,Manual,75714,Petrol,47.1,1.2,peugeot,30134703
316,Berlingo,2009,3820,Manual,112000,Diesel,49.6,1.6,citroen,30561073
317,Berlingo,2004,2490,Manual,113751,Diesel,40.9,1.9,citroen,29934027
318,Range Rover Evoque,2020,26049,Manual,18163,Diesel,44.8,2.0,land rover,30299715
319,Polo,2019,13849,Manual,19181,Petrol,48.7,1.0,volkswagen,30531284
320,Other,2023,22650,Manual,10,Petrol,51.4,1.0,other,30316810
321,Tiguan Allspace,2023,34750,Automatic,767,Petrol,40.9,1.5,volkswagen,30294183
322,Polo,2023,25250,Automatic,2461,Petrol,50.4,1.0,volkswagen,30342602
323,Polo,2022,18750,Manual,3341,Petrol,54.3,1.0,volkswagen,30514027
324,Golf,2023,24850,Manual,4000,Petrol,49.6,1.5,volkswagen,30189327
325,T-Roc,2022,27950,Automatic,4249,Petrol,44.8,1.5,volkswagen,30514029
326,Golf,2022,25750,Manual,4320,Petrol,51.4,1.5,volkswagen,30169681
327,Captur,2017,10999,Manual,23696,Petrol,55.4,0.9,renault,30476867
328,Kuga,2018,18949,Automatic,27013,Petrol,38.2,1.5,ford,30384404
329,Other,2022,21350,Manual,4557,Petrol,51.4,1.0,other,30316812
330,Golf,2023,24450,Manual,5000,Petrol,51.4,1.5,volkswagen,30420748
331,T-Roc,2023,26250,Manual,5000,Petrol,47.1,1.0,volkswagen,30447570
332,Passat,2023,33250,Automatic,5000,Petrol,42.8,1.5,volkswagen,30462022
