,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,ASX,2019,12299,N/A,43013,Petrol,41.5,1.6,mitsubishi,30448047
1,Dawn,2020,239950,Automatic,14125,Petrol,16.7,6.6,rolls-royce,30628238
2,Hatch,2018,10499,N/A,65670,Petrol,61.4,1.5,mini,30519598
3,Zafira,2015,8295,Manual,53000,Petrol,42.2,1.4,vauxhall,30112420
4,Prius,2020,9995,Automatic,55000,Petrol,70.6,1.5,toyota,30658102
5,Focus,2012,6295,Manual,56000,Petrol,47.9,1.6,ford,30494267
6,Meriva,2011,3595,Manual,57000,Petrol,42.2,1.4,vauxhall,30244331
7,Astra,2014,5995,Manual,57000,Petrol,49.6,1.4,vauxhall,30640445
8,V40,2013,7995,Manual,57000,Diesel,74.3,1.6,volvo,30506918
9,C-MAX,2013,6295,Manual,59000,Petrol,55.4,1.0,ford,30571533
10,Aygo,2015,6295,Manual,59000,Petrol,69,1.0,toyota,30099291
11,Juke,2013,7995,Manual,59000,Petrol,47.1,1.6,nissan,30502136
12,Venga,2014,3795,Manual,62000,Diesel,62.8,1.4,kia,30502137
13,Kuga,2017,13299,N/A,50544,Diesel,60.1,2.0,ford,30490035
14,Leon,2020,16049,N/A,41094,Petrol,44.8,1.5,seat,30614933
15,Fabia,2013,4595,Manual,62000,Petrol,49.6,1.2,skoda,30674120
16,Note,2013,5595,Manual,63000,Petrol,60.1,1.2,nissan,30518864
17,Qashqai,2014,8295,Manual,63000,Petrol,50.4,1.2,nissan,30518863
18,Polo,2012,5595,Manual,64000,Petrol,51.4,1.2,volkswagen,30575836
19,Civic,2015,8995,Manual,65000,Diesel,76.3,1.6,honda,30690696
20,i10,2013,3795,Manual,69000,Petrol,61.4,1.2,hyundai,30566366
21,Note,2014,5595,Manual,69000,Petrol,60.1,1.2,nissan,30513772
22,Astra,2012,4295,Manual,70000,Petrol,44.8,1.6,vauxhall,30674121
23,Fiesta,2016,6795,Manual,71000,Petrol,54.3,1.2,ford,30513771
24,IX35,2013,6595,Manual,72000,Petrol,None,1.6,hyundai,29828212
25,Eclipse Cross,2018,17449,N/A,34095,Petrol,40.4,1.5,mitsubishi,30674751
26,Ka+,2019,10499,N/A,27846,Petrol,43.5,1.2,ford,30726799
27,i10,2013,3795,Manual,69000,Petrol,61.4,1.2,hyundai,30566366
28,Note,2014,5595,Manual,69000,Petrol,60.1,1.2,nissan,30513772
29,Astra,2012,4295,Manual,70000,Petrol,44.8,1.6,vauxhall,30674121
30,Fiesta,2016,6795,Manual,71000,Petrol,54.3,1.2,ford,30513771
31,IX35,2013,6595,Manual,72000,Petrol,None,1.6,hyundai,29828212
32,X1,2012,8995,Automatic,74000,Diesel,44.8,2.0,bmw,30464183
33,Focus,2012,5295,Manual,75000,Petrol,47.9,1.6,ford,30575839
34,Juke,2014,5995,Manual,75000,Petrol,47.1,1.6,nissan,30575840
35,Focus,2012,5595,Manual,76000,Petrol,56.5,1.0,ford,30575842
36,Juke,2012,5595,Manual,76000,Petrol,47.1,1.6,nissan,30575841
37,A4,2020,26899,N/A,12485,Petrol,39.2,2.0,audi,30373351
38,E-PACE,2018,25049,N/A,29556,Petrol,34.4,2.0,jaguar,30649197
39,A3,2011,5295,Manual,77000,Petrol,40.9,1.6,audi,30625274
40,Ceed,2014,6295,Manual,77000,Petrol,46.3,1.4,kia,30682644
41,i30,2013,5995,Manual,79000,Petrol,42.8,1.6,hyundai,30502135
42,Range Rover,2014,26995,Automatic,79000,Diesel,37.7,3.0,land rover,29262927
43,Jazz,2009,3295,Manual,84000,Petrol,51.4,1.3,honda,30479765
44,Juke,2013,5795,Manual,85000,Diesel,70.6,1.5,nissan,29833514
45,Focus,2016,7595,Manual,85000,Diesel,74.3,1.5,ford,30682645
46,Focus,2013,6295,Manual,86000,Diesel,67.3,1.6,ford,29989821
47,1 Series,2010,4595,Manual,88000,Petrol,46.3,2.0,bmw,30470567
48,Qashqai,2011,4795,Manual,88000,Petrol,45.6,1.6,nissan,30513770
49,Captur,2019,11899,N/A,15920,Petrol,52.3,0.9,renault,30551745
50,T-Roc,2019,16049,N/A,56162,Petrol,44.1,1.0,volkswagen,30593684
51,1 Series,2010,4595,Manual,88000,Petrol,46.3,2.0,bmw,30470567
52,i30,1970,4995,Manual,89000,Petrol,42.8,1.6,hyundai,29361783
53,Insignia,2012,3795,Manual,94000,Diesel,55.4,2.0,vauxhall,29885824
54,Focus,2013,4795,Manual,103000,Diesel,67.3,1.6,ford,29885825
55,X1,2011,5595,Manual,103000,Diesel,49.6,2.0,bmw,27953774
56,Juke,2013,5795,Manual,85000,Diesel,70.6,1.5,nissan,29833514
57,E Class,2011,6795,Automatic,102000,Diesel,51.4,2.1,mercedes-benz,29788066
58,E Class,2017,25995,Automatic,28000,Diesel,65.7,1.9,mercedes-benz,27498665
59,Alto,2014,3995,Manual,55000,Petrol,65.7,1.0,suzuki,30525933
60,Up,2012,5995,Manual,33331,Petrol,68.9,1.0,volkswagen,30561872
61,500,2017,8949,N/A,17504,Petrol,60.1,1.2,fiat,30700821
62,X1,2019,21799,N/A,33021,Petrol,39.2,2.0,bmw,30480233
63,C1,2014,5695,Manual,33528,Petrol,65.7,1.0,citroen,30144532
64,Berlingo,2015,10495,Manual,41164,Diesel,65.7,1.6,citroen,30144439
65,Superb,2011,6495,Manual,46055,Petrol,38.7,1.8,skoda,30619874
66,208,2016,7395,Manual,46577,Petrol,62.8,1.2,peugeot,30200215
67,Astra,2017,8995,Manual,47221,Petrol,52.3,1.4,vauxhall,30144485
68,Adam,2014,6495,Manual,50158,Petrol,51.4,1.4,vauxhall,30144531
69,Captur,2017,9495,Manual,50957,Diesel,78.5,1.5,renault,30717320
70,Alto,2009,4995,Automatic,52008,Petrol,54.3,1.0,suzuki,30544936
71,Megane,2014,6495,Manual,54611,Diesel,80.7,1.5,renault,30144495
72,Fiesta,2013,6995,Manual,55289,Diesel,76.4,1.5,ford,30144506
73,Focus,2019,14549,N/A,32863,Diesel,80.7,1.5,ford,30719707
74,C Class,2018,21049,N/A,52174,Diesel,65.7,2.1,mercedes-benz,30367110
75,Alto,2009,4995,Automatic,52008,Petrol,54.3,1.0,suzuki,30544936
76,Megane,2014,6495,Manual,54611,Diesel,80.7,1.5,renault,30144495
77,Fiesta,2013,5995,Manual,55000,Diesel,76.4,1.5,ford,30544945
78,Fiesta,2013,6995,Manual,55289,Diesel,76.4,1.5,ford,30144506
79,Venga,2013,4895,Manual,55445,Diesel,62.8,1.4,kia,30144473
80,Fiesta,2013,6495,Manual,55824,Diesel,76.4,1.5,ford,30144542
81,Qashqai,2013,6995,Manual,56395,Diesel,54.3,1.5,nissan,30334733
82,Logan MCV,2014,5495,Manual,57453,Petrol,56.5,0.9,dacia,30619871
83,Passat,2012,6995,Manual,57646,Diesel,64.2,1.6,volkswagen,30626309
84,Twingo,2016,5995,Manual,58089,Petrol,65.7,0.9,renault,30607438
85,Hatch,2020,15849,N/A,25075,Petrol,47.9,1.5,mini,30664197
86,2008,2019,13399,N/A,32230,Petrol,51.4,1.2,peugeot,30507572
87,i10,2015,5995,Manual,63615,Petrol,60.1,1.0,hyundai,30144524
88,Yaris,2014,7095,Manual,63655,Diesel,72.4,1.4,toyota,30144526
89,Qashqai,2013,7995,Manual,64157,Diesel,62.8,1.6,nissan,30353583
90,108,2016,4995,Manual,64218,Petrol,68.9,1.0,peugeot,30587056
91,3008,2016,8695,Automatic,65608,Diesel,67.3,1.6,peugeot,30334727
92,Hatch,2014,7795,Manual,65895,Petrol,62.8,1.5,mini,30717321
93,Qashqai,2012,5995,Manual,66727,Diesel,54.3,1.5,nissan,30144471
94,Rio,2017,8195,Manual,66735,Diesel,80.7,1.4,kia,30144500
95,Fiesta,2018,9295,Manual,67553,Diesel,85.6,1.5,ford,30717318
96,C4 Picasso,2014,7995,Manual,70079,Diesel,65.7,2.0,citroen,30598360
97,Megane,2018,13399,N/A,16747,Petrol,43.5,1.3,renault,30572010
98,V40,2017,12799,N/A,50009,Diesel,74.3,2.0,volvo,30466688
99,Zafira,2015,7495,Manual,71059,Diesel,55.4,2.0,vauxhall,30556417
100,Golf,2013,11495,Manual,73250,Diesel,67.3,2.0,volkswagen,30144512
101,A4,2011,6995,Manual,76089,Diesel,47.9,2.0,audi,30150590
102,Juke,2012,4995,Manual,76648,Diesel,57.6,1.5,nissan,30716968
103,Corsa,2018,7295,Manual,77794,Petrol,54.3,1.4,vauxhall,30717319
104,Other,2016,6995,Manual,78425,Diesel,78.5,1.6,other,30144479
105,Focus,2015,6995,Manual,79941,Diesel,67.3,1.6,ford,30334746
106,3 Series,2012,8295,Automatic,80654,Diesel,62.8,2.0,bmw,30144501
107,Sorento,2012,6395,Manual,84114,Diesel,42.2,2.2,kia,30144469
108,Duster,2013,4995,Manual,85953,Diesel,56.5,1.5,dacia,30189664
109,Hatch,2019,16999,N/A,26906,Petrol,40.4,2.0,mini,30557524
110,Stonic,2019,12899,N/A,50122,Diesel,57.7,1.6,kia,30674660
111,Zafira,2015,7495,Manual,71059,Diesel,55.4,2.0,vauxhall,30556417
112,2008,2014,6995,Manual,72000,Diesel,70.6,1.6,peugeot,30399509
113,Picanto,2012,4495,Manual,72369,Petrol,67.3,1.0,kia,30144499
114,Golf,2013,11495,Manual,73250,Diesel,67.3,2.0,volkswagen,30144512
115,Qashqai,2014,8795,Manual,73925,Diesel,74.3,1.5,nissan,30544957
116,Yeti,2012,7495,Manual,74288,Diesel,46.3,2.0,skoda,30544965
117,A4,2011,6995,Manual,76089,Diesel,47.9,2.0,audi,30150590
118,Juke,2012,4995,Manual,76648,Diesel,57.6,1.5,nissan,30716968
119,Corsa,2018,7295,Manual,77794,Petrol,54.3,1.4,vauxhall,30717319
120,Other,2016,6995,Manual,78425,Diesel,78.5,1.6,other,30144479
121,Tiguan,2019,19199,N/A,25438,Petrol,40.9,1.5,volkswagen,30507592
122,Fiesta,2016,9999,N/A,28254,Petrol,65.7,1.0,ford,30447854
123,Picanto,2012,4495,Manual,72369,Petrol,67.3,1.0,kia,30144499
124,Qashqai,2014,8795,Manual,73925,Diesel,74.3,1.5,nissan,30544957
125,Yeti,2012,7495,Manual,74288,Diesel,46.3,2.0,skoda,30544965
126,Freelander,2010,9295,Automatic,80448,Diesel,40.4,2.2,land rover,30440460
127,Logan MCV,2014,5495,Manual,57453,Petrol,56.5,0.9,dacia,30619871
128,A1,2015,7995,Manual,79414,Diesel,80.7,1.6,audi,30544929
129,C3,2016,6495,Manual,63989,Diesel,72.4,1.6,citroen,30732047
130,Captur,2015,7995,Manual,81356,Diesel,76.4,1.5,renault,30732048
131,Passat,2012,6995,Manual,57646,Diesel,64.2,1.6,volkswagen,30626309
132,Defender,2022,69999,Automatic,6000,Diesel,32.8,3.0,land rover,30480098
133,CLA Class,2019,18799,N/A,12220,Petrol,51.4,1.6,mercedes-benz,30337900
134,Captur,2019,13699,N/A,27573,Petrol,42.8,1.3,renault,30732481
135,Transit Custom,2021,33599,Manual,10000,Diesel,39.8,2.0,ford,30480101
136,Transit Courier,2021,22799,Manual,14000,Diesel,65.7,1.5,ford,30480110
137,Transit Connect,2018,16199,Manual,30000,Diesel,60.1,1.5,ford,30480103
138,Transit Connect,2018,15599,Manual,41000,Diesel,58.9,1.5,ford,30480105
139,Transit Courier,2019,17400,Manual,44000,Diesel,65.7,1.5,ford,30480113
140,Transit Custom,2020,32399,Manual,47000,Diesel,44.1,2.0,ford,30480118
141,Transit Custom,2019,27599,Manual,49000,Diesel,44.1,2.0,ford,30480099
142,Tourneo Custom,2018,34799,Manual,52000,Diesel,32.5,2.0,ford,30480117
143,Transit Custom,2019,23759,Manual,59000,Diesel,44.1,2.0,ford,30673283
144,Transit Custom,2018,28799,Manual,66000,Diesel,44.1,2.0,ford,30480114
145,X3,2019,24799,N/A,24370,Diesel,56.5,2.0,bmw,30585567
146,Insignia,2019,13199,N/A,63301,Petrol,47.1,1.5,vauxhall,30674769
147,Transit Custom,2019,27599,Manual,49000,Diesel,44.1,2.0,ford,30480099
148,Tourneo Custom,2018,34799,Manual,52000,Diesel,32.5,2.0,ford,30480117
149,Transit Custom,2018,22799,Manual,59000,Diesel,44.1,2.0,ford,30480102
150,Transit Custom,2019,23759,Manual,59000,Diesel,44.1,2.0,ford,30673283
151,Transit Custom,2018,28799,Manual,66000,Diesel,44.1,2.0,ford,30480114
152,Transit Custom,2018,21599,Manual,72000,Diesel,44.1,2.0,ford,30531102
153,Transit Custom,2019,20399,Manual,77000,Diesel,45.6,2.0,ford,30480109
154,500,2022,19049,Gold,Electric,N/A,463,,fiat,30674093
155,1 Series,2020,22949,N/A,1170,Petrol,40.4,1.5,bmw,30289979
156,500,2022,19049,Gold,Electric,N/A,1517,,fiat,30674096
157,T-Roc,2019,21999,N/A,32985,Petrol,39.8,1.5,volkswagen,30649169
158,Leon,2019,14249,N/A,33304,Petrol,49.6,1.5,seat,30608090
159,ZS,2023,17399,N/A,1902,Petrol,42.8,1.5,mg,30703151
160,Corsa,2019,11299,N/A,2241,Petrol,43.5,1.4,vauxhall,30643425
161,Qashqai,2019,18999,N/A,2336,Petrol,40.4,1.3,nissan,30719647
162,e-2008,2022,21049,Grey,Electric,N/A,2361,,peugeot,30732224
163,Polo,2021,16399,N/A,2401,Petrol,51.4,1.0,volkswagen,30700618
164,i10,2021,16049,N/A,2555,Petrol,52.3,1.2,hyundai,30572107
165,Up,2020,13099,N/A,2906,Petrol,50.4,1.0,volkswagen,30687391
166,C3,2021,14549,N/A,2979,Petrol,54.3,1.2,citroen,30502692
167,Zoe,2022,14549,Black,Electric,N/A,3005,,renault,30729586
168,Model 3,2022,29049,Grey,Electric,N/A,3104,,tesla,30674060
169,A Class,2019,20049,N/A,36998,Diesel,67.3,1.5,mercedes-benz,30551742
170,Fiesta,2020,13049,N/A,33468,Petrol,54.3,1.0,ford,30456330
171,500,2022,19049,Gold,Electric,N/A,3863,,fiat,30674091
172,Corsa,2023,19799,N/A,3870,Petrol,52.3,1.2,vauxhall,30591121
173,500,2022,16549,Green,Electric,N/A,3968,,fiat,30699993
174,Picanto,2021,12699,N/A,3969,Petrol,52.3,1.0,kia,30490003
175,500,2022,19049,Gold,Electric,N/A,4052,,fiat,30674090
176,Fiesta,2021,17549,N/A,4080,Petrol,49.6,1.0,ford,30700724
177,C1,2021,11049,N/A,4513,Petrol,58.9,1.0,citroen,30643163
178,Sandero Stepway,2021,13249,N/A,4750,Petrol,50.4,1.0,dacia,30700829
179,500X,2022,20049,N/A,4877,Petrol,44.1,1.3,fiat,30593710
180,Crossland X,2020,13599,N/A,4951,Petrol,47.1,1.2,vauxhall,30417335
181,Juke,2019,13949,N/A,21863,Petrol,35.8,1.6,nissan,30700574
182,Hatch,2021,16899,N/A,13954,Petrol,51.4,1.5,mini,30484968
183,Corsa,2023,19799,N/A,3870,Petrol,52.3,1.2,vauxhall,30591121
184,500,2022,16549,Green,Electric,N/A,3968,,fiat,30699993
185,Picanto,2021,12699,N/A,3969,Petrol,52.3,1.0,kia,30490003
186,500,2022,19049,Gold,Electric,N/A,4052,,fiat,30674090
187,Fiesta,2021,17549,N/A,4080,Petrol,49.6,1.0,ford,30700724
188,ZS,2021,16549,Blue,Electric,N/A,4216,,mg,30729584
189,e-2008,2022,21049,Grey,Electric,N/A,4246,,peugeot,30732226
190,ZS,2022,22049,White,Electric,N/A,4353,,mg,30732231
191,C1,2021,11049,N/A,4513,Petrol,58.9,1.0,citroen,30643163
192,308,2022,22049,N/A,4624,Petrol,52.3,1.2,peugeot,30373179
193,Soul,2017,11799,N/A,36310,Diesel,58.9,1.6,kia,30476802
194,Qashqai,2018,18049,N/A,31859,Petrol,39.8,1.3,nissan,30401210
195,e-Niro,2022,22049,Blue,Electric,N/A,4664,,kia,30729677
196,Sandero Stepway,2021,13249,N/A,4750,Petrol,50.4,1.0,dacia,30700829
197,500X,2022,20049,N/A,4877,Petrol,44.1,1.3,fiat,30593710
198,Crossland X,2020,13599,N/A,4951,Petrol,47.1,1.2,vauxhall,30417335
199,Ka+,2017,10049,N/A,5013,Petrol,57.7,1.2,ford,30643536
200,208,2021,16299,N/A,5084,Petrol,56.5,1.2,peugeot,30407547
201,Zoe,2019,11799,White,Electric,N/A,5136,,renault,30477011
202,108,2020,10749,N/A,5248,Petrol,52.3,1.0,peugeot,30726783
203,108,2021,10849,N/A,5300,Petrol,58.9,1.0,peugeot,30587906
204,Viva,2019,9349,N/A,5387,Petrol,46.3,1.0,vauxhall,30502658
205,Aygo,2018,9699,N/A,30127,Petrol,68.9,1.0,toyota,30603027
206,Ateca,2017,17549,N/A,46253,Diesel,53.3,2.0,seat,30620634
207,MG5,2022,17849,Blue,Electric,N/A,5414,,mg,30691210
208,Panda,2020,12049,N/A,5417,Petrol,50.4,1.0,fiat,30562736
209,2 Series,2022,28049,N/A,5445,Petrol,45.6,1.5,bmw,30572207
210,e-2008,2022,21049,Blue,Electric,N/A,5647,,peugeot,30712310
211,MG3,2022,12749,N/A,5652,Petrol,42.8,1.5,mg,30732450
212,Clio,2017,10549,N/A,5700,Petrol,50.4,1.1,renault,30627142
213,Captur,2018,12049,N/A,5730,Petrol,52.3,0.9,renault,30726775
214,CLA Class,2022,31049,N/A,5773,Petrol,40.4,2.0,mercedes-benz,30664201
215,C1,2020,10449,N/A,5850,Petrol,58.9,1.0,citroen,30572147
216,Yaris,2020,11999,N/A,5869,Petrol,49.6,1.0,toyota,30421755
217,Discovery Sport,2017,24699,N/A,56297,Diesel,44.1,2.0,land rover,30687426
218,GLA Class,2019,19599,N/A,52366,Petrol,44.8,1.6,mercedes-benz,30643257
219,Ka+,2019,11099,N/A,5902,Petrol,47.9,1.2,ford,30620655
220,Fabia,2018,10799,N/A,5923,Petrol,57.7,1.0,skoda,30476984
221,Focus,2020,15399,N/A,5986,Petrol,60.1,1.0,ford,30643204
222,T-Cross,2020,22249,N/A,6049,Petrol,43.5,1.0,volkswagen,30726802
223,Vitara,2021,17949,N/A,6185,Petrol,49.6,1.4,suzuki,30691331
224,500,2021,14549,Blue,Electric,N/A,6288,,fiat,30691352
225,Ibiza,2018,13599,N/A,6315,Petrol,57.7,1.0,seat,30476886
226,Ignis,2022,14399,N/A,6377,Petrol,56.5,1.2,suzuki,30700638
227,Mazda2,2021,14299,N/A,6389,Petrol,53.3,1.5,mazda,30178652
228,500,2022,16549,Gold,Electric,N/A,6479,,fiat,30712315
229,Captur,2020,14949,N/A,19526,Diesel,58.9,1.5,renault,30480231
230,4 Series,2016,15549,N/A,51465,Diesel,64.2,2.0,bmw,30627099
231,C4,2022,18049,Grey,Electric,N/A,8088,,citroen,30699992
232,Zoe,2020,14249,Blue,Electric,N/A,8175,,renault,30678976
233,Kamiq,2020,19449,N/A,8212,Petrol,45.6,1.0,skoda,30531404
234,500,2022,19049,Gold,Electric,N/A,8265,,fiat,30674089
235,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
236,Clio,2020,17199,N/A,8372,Petrol,45.6,1.3,renault,30490102
237,Leon,2018,14699,N/A,8422,Petrol,56.5,1.2,seat,30587888
238,Mokka Electric,2022,20049,Blue,Electric,N/A,8428,,vauxhall,30702070
239,Corsa,2021,14999,N/A,8449,Petrol,53.3,1.2,vauxhall,30577448
240,500,2022,16549,Grey,Electric,N/A,8461,,fiat,30674086
241,i3,2018,15549,N/A,48149,OTHER,None,,bmw,30602759
242,A Class,2019,20499,N/A,29018,Diesel,67.3,1.5,mercedes-benz,30562793
243,Mokka,2022,18849,N/A,6798,Petrol,51.4,1.2,vauxhall,30659909
244,Model 3,2021,29849,White,Electric,N/A,6806,,tesla,30692269
245,CX-5,2019,22049,N/A,6879,Diesel,49.6,2.2,mazda,30674781
246,500,2022,19549,Green,Electric,N/A,6892,,fiat,30674094
247,Other,2020,10899,N/A,6896,Petrol,58.9,1.0,peugeot,30679033
248,Octavia,2019,18599,N/A,7097,Diesel,67.3,1.6,skoda,30502638
249,Compass,2021,22849,N/A,7341,Petrol,31.4,1.4,jeep,30608129
250,Hatch,2020,19799,Silver,Electric,N/A,7356,,mini,30678966
251,e-2008,2022,21049,Blue,Electric,N/A,7396,,peugeot,30729678
252,Mokka Electric,2022,20049,Blue,Electric,N/A,7436,,vauxhall,30732223
253,Q5,2017,21049,N/A,47762,Petrol,40.9,2.0,audi,30299722
254,Mustang,2018,29999,N/A,33537,Petrol,20.9,5.0,ford,30424986
255,C4,2022,18049,White,Electric,N/A,7485,,citroen,30692275
256,Hatch,2021,23049,N/A,7533,Petrol,47.9,2.0,mini,30348886
257,CLA Class,2021,30049,N/A,7590,Diesel,55.4,1.9,mercedes-benz,30460848
258,Polo,2020,16299,N/A,7640,Petrol,50.4,1.0,volkswagen,30484981
259,Aygo,2020,9999,N/A,7666,Petrol,56.5,1.0,toyota,30485012
260,Corsa,2022,16549,Black,Electric,N/A,7684,,vauxhall,30691207
261,Leaf,2021,17049,Red,Electric,N/A,7718,,nissan,30700709
262,C3,2021,17349,N/A,7734,Petrol,50.4,1.2,citroen,30691277
263,MG5,2022,17849,Blue,Electric,N/A,7741,,mg,30674079
264,208,2021,16199,N/A,7749,Petrol,56.5,1.2,peugeot,30424952
265,Polo,2018,14049,N/A,32883,Petrol,60.1,1.0,volkswagen,30485018
266,C-HR,2019,18799,N/A,39998,Hybrid,72.4,1.8,toyota,30460784
267,ZS,2022,22049,Blue,Electric,N/A,9808,,mg,30674082
268,Mokka,2021,18999,N/A,9933,Petrol,50.4,1.2,vauxhall,30466792
269,T-Cross,2021,19999,N/A,9955,Petrol,43.5,1.0,volkswagen,30417329
270,Rio,2019,10599,N/A,10005,Petrol,46.3,1.2,kia,30557568
271,Polo,2021,16349,N/A,10007,Petrol,50.4,1.0,volkswagen,30703188
272,Tucson,2020,20549,N/A,10045,Petrol,36.2,1.6,hyundai,30700615
273,C4,2022,17549,Grey,Electric,N/A,10057,,citroen,30702073
274,Picanto,2020,12199,N/A,10071,Petrol,48.7,1.2,kia,30480242
275,Qashqai,2020,17199,N/A,10101,Petrol,44.8,1.3,nissan,30620645
276,DS 3 Crossback,2022,19949,N/A,10152,Petrol,48.7,1.2,ds,30674440
277,Q3,2016,23049,N/A,12081,Petrol,40.4,2.0,audi,30654941
278,Kuga,2018,20599,N/A,23534,Diesel,42.2,2.0,ford,30498484
279,C1,2021,10499,N/A,10162,Petrol,58.9,1.0,citroen,30447890
280,e-208,2020,17299,Yellow,Electric,N/A,10203,,peugeot,30572094
281,CRV,2017,18999,N/A,10465,Diesel,55.4,1.6,honda,30438229
282,Viva,2019,9299,N/A,10476,Petrol,46.3,1.0,vauxhall,30703204
283,Megane,2020,15399,N/A,10486,Petrol,43.5,1.3,renault,30531298
284,i10,2019,8999,N/A,10542,Petrol,60.1,1.0,hyundai,30572184
285,C4,2022,17549,Black,Electric,N/A,10551,,citroen,30702074
286,T-Cross,2022,21499,N/A,10632,Petrol,45.6,1.0,volkswagen,30519607
287,C4,2019,18799,N/A,10639,Petrol,47.1,1.2,citroen,30602952
288,Focus,2019,16299,N/A,10674,Petrol,60.1,1.0,ford,30587985
289,GLA Class,2018,18449,N/A,35477,Petrol,48.7,1.6,mercedes-benz,30507586
290,XC60,2017,19749,N/A,46202,Diesel,49.6,2.4,volvo,30700550
291,Picanto,2020,13299,N/A,8341,Petrol,48.7,1.2,kia,30531257
292,Polo,2020,16049,N/A,8353,Petrol,51.4,1.0,volkswagen,30654893
293,Clio,2020,17199,N/A,8372,Petrol,45.6,1.3,renault,30490102
294,Leon,2018,14699,N/A,8422,Petrol,56.5,1.2,seat,30587888
295,Mokka Electric,2022,20049,Blue,Electric,N/A,8428,,vauxhall,30702070
296,Corsa,2021,14999,N/A,8449,Petrol,53.3,1.2,vauxhall,30577448
297,Xceed,2020,17299,N/A,8452,Petrol,44.1,1.0,kia,30384604
298,500,2022,16549,Grey,Electric,N/A,8461,,fiat,30674086
299,Tipo,2021,14299,N/A,8542,Petrol,48.7,1.0,fiat,30691265
300,Polo,2021,16099,N/A,8556,Petrol,51.4,1.0,volkswagen,30726711
301,A1,2017,17049,N/A,13844,Diesel,70.6,1.6,audi,30627130
302,Range Rover Evoque,2019,27549,N/A,24631,Diesel,41.5,2.0,land rover,30691330
303,XF,2018,22049,N/A,11116,Petrol,41.5,2.0,jaguar,30659945
304,C4,2022,17549,Grey,Electric,N/A,11146,,citroen,30674068
305,Sportage,2021,20249,N/A,11185,Diesel,50.4,1.6,kia,30703112
306,C3,2018,13349,N/A,11255,Petrol,56.5,1.2,citroen,30643476
307,Eclipse Cross,2018,17849,N/A,11257,Petrol,40.4,1.5,mitsubishi,30700599
308,Corsa,2020,13049,N/A,11365,Petrol,52.3,1.2,vauxhall,30546365
309,i10,2020,13799,N/A,11372,Petrol,52.3,1.2,hyundai,30438192
310,Crossland X,2020,14599,N/A,11399,Petrol,47.9,1.2,vauxhall,30572054
311,Focus,2019,15049,N/A,11404,Petrol,58.9,1.0,ford,30421698
312,Model 3,2022,28549,Blue,Electric,N/A,11417,,tesla,30674061
313,C3,2017,12349,N/A,33925,Petrol,57.7,1.2,citroen,30582257
314,C-HR,2019,18799,N/A,39998,Hybrid,72.4,1.8,toyota,30460784
315,1 Series,2022,33049,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
316,Micra,2017,12049,N/A,9041,Petrol,64.2,0.9,nissan,30674729
317,Grandland X,2019,14349,N/A,9073,Diesel,55.4,1.5,vauxhall,30107800
318,EcoSport,2020,15699,N/A,9077,Petrol,51.4,1.0,ford,30477070
319,Mokka Electric,2021,17899,Black,Electric,N/A,9078,,vauxhall,30572104
320,Corsa,2022,13949,N/A,9092,Petrol,54.3,1.2,vauxhall,30659844
321,Clio,2021,14899,N/A,9108,Petrol,54.3,1.0,renault,30593678
322,A Class,2019,18299,N/A,9115,Diesel,68.9,1.5,mercedes-benz,30460819
323,Micra,2020,12699,N/A,9124,Petrol,47.9,1.0,nissan,30572308
324,Ibiza,2021,15699,N/A,9165,Petrol,51.4,1.0,seat,30490170
325,X2,2019,19549,N/A,17165,Petrol,42.8,1.5,bmw,30687400
326,Focus,2020,14399,N/A,42335,Petrol,49.6,1.0,ford,30719601
327,Focus,2019,16599,N/A,11762,Petrol,53.3,1.5,ford,30424918
328,DS 3 Crossback,2021,18849,N/A,11859,Petrol,47.1,1.2,ds,30700581
329,Corsa,2019,11349,N/A,11870,Petrol,43.5,1.4,vauxhall,30664150
330,Picanto,2017,8599,N/A,11871,Petrol,64.2,1.0,kia,30447942
331,Aygo,2018,11549,N/A,11874,Petrol,67.3,1.0,toyota,30700639
332,Celerio,2018,11049,N/A,11902,Petrol,65.7,1.0,suzuki,30627203
333,Kadjar,2020,16849,N/A,11910,Petrol,42.16,1.3,renault,30429238
334,Polo,2021,15749,N/A,11915,Petrol,51.4,1.0,volkswagen,30572093
335,Corsa,2018,10349,N/A,11916,Petrol,43.5,1.4,vauxhall,30456357
336,Ignis,2021,16999,N/A,11918,Petrol,52.3,1.2,suzuki,30700627
337,Qashqai,2016,11849,N/A,41054,Petrol,50.4,1.2,nissan,30687399
338,i20,2019,10649,N/A,42945,Petrol,47.9,1.0,hyundai,30683493
339,Aygo,2020,11799,N/A,9652,Petrol,56.5,1.0,toyota,30732478
340,C1,2019,9099,N/A,9662,Petrol,58.9,1.0,citroen,30700809
341,Zoe,2021,14249,Grey,Electric,N/A,9683,,renault,30726757
342,Corsa,2019,10549,N/A,9721,Petrol,43.5,1.4,vauxhall,30502721
343,C1,2020,10349,N/A,9756,Petrol,58.9,1.0,citroen,30572240
344,Xceed,2020,17999,N/A,9757,Petrol,42.8,1.4,kia,30703121
345,108,2017,8049,N/A,9773,Petrol,68.9,1.0,peugeot,30643368
