,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,4 Series,2015,11850,Automatic,126000,Diesel,65.7,2.0,bmw,29961018
1,M5,2014,29999,Automatic,78000,Petrol,28.5,4.4,bmw,28290859
2,3 Series,2011,3199,Manual,150000,Diesel,60.1,2.0,bmw,29938007
3,1 Series,2012,5995,Manual,102000,Petrol,49.6,1.6,bmw,29413345
4,5 Series,2008,4975,Automatic,115000,Diesel,50.4,2.0,bmw,29485267
5,1 Series,2009,2375,Manual,134000,Petrol,47.9,2.0,bmw,29922531
6,X3,2011,8485,Manual,85439,Diesel,50.4,2.0,bmw,30006856
7,1 Series,2014,7550,Manual,91000,Diesel,65.7,2.0,bmw,29961997
8,2 Series,2019,20169,Semi-Auto,15428,Petrol,50.4,2,bmw,29970995
9,X1,2018,25514,Semi-Auto,15478,Petrol,35.3,2,bmw,29971036
10,X3,2019,34233,Semi-Auto,17450,Diesel,54.3,2,bmw,29971014
11,4 Series,2019,26198,Semi-Auto,18676,Diesel,52.3,3,bmw,29971050
12,1 Series,2020,25122,Semi-Auto,22515,Petrol,40.4,1.5,bmw,29970986
13,5 Series,2019,25498,Semi-Auto,37442,Diesel,49.6,2,bmw,29971049
14,1 Series,2012,6500,Manual,69000,Petrol,49.6,1.6,bmw,30007401
15,1 Series,2012,5500,Manual,99600,Diesel,62.8,2.0,bmw,29824143
16,X5,2007,6000,Automatic,106800,Diesel,34.9,3.0,bmw,29643604
17,X6,2008,8000,Automatic,112000,Diesel,34.4,3.0,bmw,29938160
18,6 Series,2013,11000,Automatic,113000,Diesel,51.4,3.0,bmw,29983593
19,4 Series,2015,16485,Automatic,66000,Diesel,50.4,3.0,bmw,29949543
20,1 Series,2009,5685,Automatic,82000,Diesel,52.3,2.0,bmw,29998600
21,1 Series,2020,25199,Semi-Auto,25846,Diesel,48.7,2,bmw,29701912
22,1 Series,2019,18099,Manual,34620,Petrol,52.3,1.5,bmw,29967256
23,1 Series,2019,15699,Manual,36340,Petrol,53.3,1.5,bmw,29986343
24,4 Series,2019,20999,Semi-Auto,52395,Diesel,65.7,2,bmw,29887151
25,3 Series,2019,21999,Semi-Auto,75125,Diesel,52.3,2,bmw,30016322
26,X2,2021,24750,Manual,10000,Diesel,49.6,2.0,bmw,29307919
27,5 Series,2019,23350,Automatic,48500,Diesel,46.3,2.0,bmw,27814391
28,4 Series,2018,15450,Automatic,76037,Diesel,58.9,2.0,bmw,29773454
29,3 Series,2015,11750,Manual,84380,Diesel,57.6,2.0,bmw,29878335
30,M3,2005,16950,Manual,85006,Petrol,20.8,3.2,bmw,29878333
31,3 Series,2015,14850,Automatic,90000,Diesel,51.4,3.0,bmw,29689124
32,6 Series,2013,12950,Automatic,97911,Diesel,49.6,3.0,bmw,29794484
33,X5,2016,24950,Automatic,104100,Diesel,42.8,3.0,bmw,30011839
34,1 Series,2008,3185,Automatic,140000,Diesel,52.3,2.0,bmw,29660538
35,1 Series,2009,3150,Automatic,141079,Diesel,52.3,2.0,bmw,29660534
36,X1,2011,8295,Automatic,94653,Diesel,45.6,2.0,bmw,29516696
37,1 Series,2012,9995,Automatic,9000,Petrol,None,1.6,bmw,29997925
38,X1,2011,11995,Automatic,15000,Petrol,None,3.0,bmw,29801276
39,7 Series,2019,26995,Automatic,42000,Diesel,None,3.0,bmw,29908841
40,6 Series,2011,11995,Automatic,43000,Petrol,None,4.8,bmw,29518999
41,4 Series,2017,13995,Manual,47000,Diesel,62.8,2,bmw,29899967
42,1 Series,2015,11485,Automatic,97000,Diesel,65.7,2,bmw,30034384
43,2 Series,2018,17599,Manual,21464,Petrol,48.7,1.5,bmw,29986325
44,1 Series,2017,16799,Manual,24705,Petrol,52.3,1.5,bmw,29915012
45,3 Series,2018,21999,Semi-Auto,27170,Diesel,64.2,2,bmw,30009730
46,1 Series,2017,16399,Manual,35936,Petrol,52.3,1.5,bmw,30017573
47,1 Series,2019,17499,Manual,42969,Petrol,52.3,1.5,bmw,30017583
48,5 Series,2015,17899,Semi-Auto,46897,Diesel,50.4,3,bmw,29840278
49,X1,2016,18999,Semi-Auto,41822,Diesel,57.6,2,bmw,29985748
50,1 Series,2019,16699,Semi-Auto,67376,Diesel,67.3,2,bmw,29892138
51,X3,2015,13495,Manual,78000,Diesel,52.3,2.0,bmw,29343236
52,2 Series,2017,15995,Manual,17000,Diesel,65.7,2.0,bmw,29868680
53,Z4,2014,13495,Manual,40000,Petrol,41.5,2.0,bmw,29815316
54,3 Series,2012,9995,Automatic,64000,Diesel,50.4,2.0,bmw,29815281
55,5 Series,2011,7995,Automatic,78000,Diesel,54.3,2.0,bmw,29868675
56,7 Series,2015,26995,Automatic,92000,Diesel,56.5,3.0,bmw,29815406
57,1 Series,2013,6295,Manual,96000,Diesel,61.4,2.0,bmw,29868679
58,X3,2013,9495,Automatic,106000,Diesel,50.4,2.0,bmw,29815191
59,5 Series,2019,15995,Automatic,113000,Petrol,156.9,2.0,bmw,29977550
60,5 Series,2004,2495,Automatic,136000,Petrol,28.5,2.5,bmw,29815210
61,3 Series,2014,6495,Automatic,161000,Diesel,65.7,2.0,bmw,29815292
62,3 Series,2006,2495,Manual,95000,Diesel,50.4,2.0,bmw,30044352
63,2 Series,2021,22549,Manual,4528,Petrol,36.7,2.0,bmw,29916143
64,1 Series,2022,27049,Semi-Auto,5518,Petrol,44.1,1.5,bmw,29534101
65,2 Series,2019,20049,Manual,8256,Petrol,52.3,1.5,bmw,29915915
66,2 Series,2019,24549,Semi-Auto,11649,Petrol,39.8,3.0,bmw,29554682
67,1 Series,2018,20049,Semi-Auto,11700,Petrol,47.9,2.0,bmw,29916156
68,X4,2019,47049,Semi-Auto,12764,Petrol,24.8,3.0,bmw,29798193
69,1 Series,2018,19249,Semi-Auto,13232,Petrol,54.3,1.5,bmw,29974690
70,3 Series,2020,29699,Semi-Auto,18028,Diesel,56.5,2.0,bmw,29878784
71,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
72,2 Series,2019,19199,Semi-Auto,20334,Petrol,50.4,1.5,bmw,29554675
73,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
74,1 Series,2020,25049,Semi-Auto,21301,Diesel,62.8,2.0,bmw,29826248
75,1 Series,2020,23849,Semi-Auto,22357,Diesel,57.7,1.5,bmw,29916165
76,1 Series,2019,20349,Semi-Auto,22546,Petrol,54.3,1.5,bmw,29969110
77,3 Series,2021,28049,Semi-Auto,23341,Petrol,41.5,2.0,bmw,29916171
78,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
79,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
80,X3,2019,35049,Semi-Auto,18547,Diesel,48.7,3.0,bmw,29924944
81,2 Series,2018,16899,Manual,18603,Petrol,52.3,1.5,bmw,29798952
82,1 Series,2018,15049,Manual,18802,Diesel,53.3,1.5,bmw,29974710
83,5 Series,2019,25549,Semi-Auto,19399,Diesel,49.6,2.0,bmw,29666231
84,2 Series,2019,19199,Semi-Auto,20334,Petrol,50.4,1.5,bmw,29554675
85,1 Series,2020,25299,Semi-Auto,20406,Petrol,40.4,1.5,bmw,29855082
86,2 Series,2018,18299,Manual,20416,Petrol,47.1,1.5,bmw,29905935
87,1 Series,2020,21349,Semi-Auto,20647,Petrol,43.5,1.5,bmw,29854899
88,1 Series,2017,14849,Manual,21162,Diesel,68.9,2.0,bmw,29968989
89,2 Series,2019,16899,Semi-Auto,21285,Diesel,56.5,1.5,bmw,29799028
90,1 Series,2019,20049,Semi-Auto,30602,Diesel,67.3,2.0,bmw,29799255
91,1 Series,2019,15549,Manual,31154,Petrol,53.3,1.5,bmw,29986809
92,X1,2018,19899,Semi-Auto,31185,Diesel,60.1,2.0,bmw,29831168
93,1 Series,2020,21499,Semi-Auto,31329,Diesel,57.7,1.5,bmw,29974706
94,4 Series,2017,20349,Semi-Auto,31681,Diesel,65.7,2.0,bmw,30003949
95,2 Series,2016,15849,Automatic,32683,Diesel,65.7,2.0,bmw,29981238
96,3 Series,2019,19499,Manual,32794,Diesel,56.5,2.0,bmw,29540216
97,X3,2018,29049,Semi-Auto,32877,Diesel,48.7,3.0,bmw,29600841
98,2 Series,2018,19349,Semi-Auto,33433,Diesel,65.7,2.0,bmw,29993485
99,1 Series,2020,22499,Semi-Auto,33892,Petrol,40.4,1.5,bmw,29675552
100,4 Series,2018,21849,Semi-Auto,23410,Diesel,65.7,2.0,bmw,29915951
101,4 Series,2018,20649,Semi-Auto,23421,Petrol,48.7,2.0,bmw,29756788
102,2 Series,2019,21049,Semi-Auto,23455,Petrol,50.4,1.5,bmw,30032866
103,5 Series,2018,23749,Semi-Auto,23641,Diesel,68.9,2.0,bmw,29826118
104,1 Series,2019,17799,Semi-Auto,24220,Petrol,55.5,1.5,bmw,29842527
105,1 Series,2020,21049,Manual,24232,Diesel,57.7,1.5,bmw,30042456
106,2 Series,2019,20049,Semi-Auto,24265,Diesel,67.3,2.0,bmw,29898734
107,2 Series,2019,20749,Semi-Auto,24277,Diesel,65.7,2.0,bmw,29969042
108,1 Series,2021,29289,Semi-Auto,24343,Petrol,70.6,2.0,bmw,30032986
109,2 Series,2019,19249,Semi-Auto,24899,Diesel,67.3,2.0,bmw,29591138
110,X1,2017,20549,Semi-Auto,37014,Diesel,57.6,2.0,bmw,30015289
111,1 Series,2018,17249,Semi-Auto,37112,Diesel,49.6,2.0,bmw,29871855
112,1 Series,2018,14049,Manual,37366,Diesel,53.3,1.5,bmw,30003870
113,5 Series,2020,21549,Semi-Auto,37545,Diesel,49.6,2.0,bmw,29634322
114,1 Series,2018,13349,Manual,38222,Petrol,56.5,1.5,bmw,30004052
115,X2,2019,20549,Manual,38387,Petrol,41.5,1.5,bmw,29969242
116,1 Series,2017,16549,Semi-Auto,39319,Petrol,54.3,1.5,bmw,30008822
117,3 Series,2019,20049,Manual,39512,Diesel,56.5,2.0,bmw,29812519
118,3 Series,2019,25949,Semi-Auto,39759,Diesel,52.3,2.0,bmw,29916190
119,X1,2019,22799,Semi-Auto,39931,Petrol,39.2,2.0,bmw,29831159
120,1 Series,2020,22049,Semi-Auto,40948,Petrol,40.4,1.5,bmw,29526758
121,5 Series,2018,22849,Semi-Auto,41323,Diesel,68.9,2.0,bmw,29950320
122,X1,2019,23049,Semi-Auto,41330,Petrol,39.2,2.0,bmw,29969020
123,X1,2017,17199,Semi-Auto,41432,Diesel,65.7,2.0,bmw,29847227
124,1 Series,2019,17049,Semi-Auto,41760,Diesel,70.6,2.0,bmw,29958041
125,X1,2019,20549,Manual,42228,Petrol,40.4,1.5,bmw,30003823
126,3 Series,2018,17349,Manual,42322,Petrol,47.9,2.0,bmw,30015244
127,1 Series,2018,15849,Semi-Auto,42901,Petrol,37.7,1.5,bmw,29924902
128,1 Series,2016,14349,Manual,43762,Diesel,65.7,2.0,bmw,30004046
129,3 Series,2020,21199,Semi-Auto,43880,Petrol,43.5,2.0,bmw,29756738
130,X6,2017,30049,Semi-Auto,44035,Diesel,None,3.0,bmw,30015349
131,5 Series,2015,16549,Semi-Auto,44391,Diesel,62.8,2.0,bmw,29798866
132,3 Series,2018,19549,Semi-Auto,44649,Diesel,64.2,2.0,bmw,29950263
133,1 Series,2017,19549,Semi-Auto,44910,Diesel,60.1,2.0,bmw,29969162
134,X2,2019,21799,Semi-Auto,45524,Diesel,58.9,2.0,bmw,29534327
135,5 Series,2018,23049,Semi-Auto,45787,Diesel,49.6,2.0,bmw,29993404
136,3 Series,2018,19349,Semi-Auto,46383,Diesel,64.2,2.0,bmw,29993421
137,1 Series,2018,19549,Semi-Auto,46577,Diesel,48.7,2.0,bmw,30004042
138,3 Series,2017,17849,Semi-Auto,46643,Diesel,64.2,2.0,bmw,30015222
139,1 Series,2016,13349,Semi-Auto,46733,Diesel,78.5,1.5,bmw,29854854
