,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,A1,2017,16049,Manual,10320,Petrol,55.4,1.4,audi,30251107
1,A5,2019,26549,Semi-Auto,11689,Petrol,37.7,2.0,audi,30132315
2,Q2,2021,23549,Manual,11696,Petrol,45.6,1.0,audi,29836479
3,A1,2020,20049,Manual,11720,Petrol,47.9,1.0,audi,30267181
4,A1,2019,15549,Manual,12218,Petrol,52.3,1.0,audi,29812468
5,A3,2021,26549,Semi-Auto,12627,Petrol,46.3,1.5,audi,30267327
6,Q2,2020,21849,Manual,13462,Petrol,45.6,1.0,audi,30118240
7,Q2,2019,19049,Manual,13493,Diesel,49.6,1.6,audi,30188219
8,A1,2020,21799,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
9,Q2,2019,19049,Manual,14075,Diesel,49.6,1.6,audi,30251057
10,A1,2019,19749,Manual,14377,Petrol,47.9,1.0,audi,30015300
11,e-tron,2020,30549,White,Electric,Automatic,14623,,audi,30079724
12,Q2,2019,18899,Manual,14692,Petrol,47.1,1.0,audi,29969122
13,A4,2020,28299,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
14,SQ2,2021,30049,Semi-Auto,15439,Petrol,32.5,2.0,audi,30198647
15,A5,2019,27549,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
16,Q2,2020,20049,Manual,15744,Diesel,49.6,1.6,audi,30107780
17,S3,2020,30549,Semi-Auto,16223,Petrol,34.5,2.0,audi,29950363
18,A3,2016,19049,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
19,A1,2016,16399,Semi-Auto,16373,Petrol,56.5,1.4,audi,30113661
20,A3,2020,21049,Manual,16586,Petrol,50.4,1.0,audi,30008871
21,A1,2019,19349,Manual,16839,Petrol,51.4,1.0,audi,30251185
22,A5,2017,19349,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
23,A1,2017,16699,Semi-Auto,17013,Petrol,58.9,1.4,audi,30181505
24,A3,2018,18599,Manual,17404,Petrol,47.1,1.0,audi,29888080
25,A1,2017,13349,Manual,17889,Petrol,None,1.0,audi,30208671
26,A3,2019,18049,Manual,18058,Petrol,44.8,1.5,audi,30025538
27,A1,2020,18549,Manual,18145,Petrol,48.7,1.0,audi,30250884
28,A1,2017,14049,Manual,18171,Petrol,67.3,1.0,audi,30132219
29,A1,2019,17049,Manual,18264,Petrol,51.4,1.0,audi,29916035
30,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
31,A3,2020,19699,Semi-Auto,25699,Diesel,51.4,2.0,audi,29924939
32,A1,2017,16549,Manual,25836,Petrol,70.6,1.4,audi,30015291
33,A5,2018,19199,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
34,A1,2018,14849,Manual,26123,Petrol,55.4,1.4,audi,30188273
35,Q2,2019,18499,Manual,26163,Petrol,47.1,1.0,audi,30003734
36,A4,2019,20699,Manual,27008,Petrol,39.2,2.0,audi,30025501
37,A1,2018,15899,Manual,27099,Petrol,None,1.4,audi,30208532
38,A4,2019,18899,Manual,27114,Petrol,40.4,2.0,audi,30132541
39,Q3,2019,25049,Semi-Auto,27506,Petrol,38.2,1.5,audi,29893721
40,Q2,2019,21549,Semi-Auto,27570,Diesel,46.3,1.6,audi,30251016
41,A3,2018,20799,Semi-Auto,27639,Petrol,56.5,1.5,audi,29993408
42,Other,2017,25049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
43,A3,2019,18499,Manual,27856,Diesel,51.4,1.6,audi,29950229
44,A5,2017,21049,Semi-Auto,27912,Diesel,65.7,2.0,audi,30025485
45,A3,2019,19699,Manual,28472,Petrol,46.3,1.0,audi,30042484
46,Q2,2018,17799,Manual,28484,Petrol,52.3,1.4,audi,30008809
47,A1,2017,16549,Semi-Auto,28519,Petrol,58.9,1.4,audi,30123784
48,A1,2017,14499,Semi-Auto,28692,Diesel,72.4,1.6,audi,29888094
49,A3,2019,15549,Manual,28775,Diesel,49.6,1.6,audi,29950277
50,A3,2019,16049,Manual,28944,Petrol,None,1.0,audi,30208560
51,Q2,2017,19049,Manual,29002,Petrol,50.4,1.4,audi,30025559
52,Q2,2017,17849,Manual,29371,Diesel,61.4,1.6,audi,30250939
53,Q2,2020,20899,Manual,29523,Petrol,45.6,1.0,audi,30046121
54,A1,2019,15249,Manual,30088,Petrol,51.4,1.0,audi,29799120
55,A1,2017,13149,Manual,30658,Petrol,None,1.4,audi,30208525
56,A4,2021,27049,Semi-Auto,31164,Petrol,40.9,2.0,audi,30123815
57,A1,2020,16849,Manual,31391,Petrol,None,1.0,audi,30208680
58,A5,2019,24599,Semi-Auto,31397,Diesel,50.4,2.0,audi,29915994
59,A3,2016,12799,Manual,31628,Diesel,65.7,1.6,audi,30003951
60,A1,2017,13799,Semi-Auto,23629,Petrol,57.6,1.4,audi,30103514
61,A3,2019,21549,Semi-Auto,23715,Petrol,41.5,1.5,audi,29888533
62,A5,2019,26349,Semi-Auto,24037,Petrol,37.7,2.0,audi,30161789
63,A3,2020,25049,Semi-Auto,24052,Petrol,46.3,1.5,audi,30201105
64,TT,2018,19699,Manual,24237,Diesel,62.8,2.0,audi,30155550
65,A1,2018,13799,Manual,24389,Petrol,57.7,1.4,audi,30079656
66,A1,2018,13499,Manual,24456,Petrol,67.3,1.0,audi,30079725
67,A1,2018,14049,Manual,24763,Petrol,67.3,1.0,audi,30090235
68,Q3,2019,26549,Semi-Auto,25208,Petrol,38.2,1.5,audi,29969086
69,Q3,2016,20049,Semi-Auto,25324,Petrol,40.4,2.0,audi,29854749
70,A3,2019,18199,Manual,32768,Diesel,51.4,1.6,audi,30132391
71,A3,2017,15899,Semi-Auto,33275,Petrol,58.9,1.4,audi,30132558
72,A3,2019,19699,Semi-Auto,33519,Petrol,42.2,1.5,audi,30015216
73,A1,2018,15049,Manual,33668,Petrol,55.4,1.4,audi,30148621
74,A1,2018,14799,Semi-Auto,33770,Petrol,64.2,1.0,audi,30132530
75,Q2,2019,17849,Manual,33775,Diesel,49.6,1.6,audi,30251056
76,A3,2019,16699,Manual,34506,Petrol,47.9,1.0,audi,30132380
77,A4,2019,18549,Manual,34965,Petrol,39.2,2.0,audi,29878648
78,Q3,2017,17399,Manual,35121,Petrol,51.4,1.4,audi,30015367
79,A1,2016,12749,Manual,35223,Petrol,None,1.4,audi,30208535
80,S1,2016,17699,Manual,35387,Petrol,40.4,2.0,audi,30103734
81,Q2,2018,21699,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
82,Q5,2017,24049,Semi-Auto,36402,Diesel,56.5,2.0,audi,29854815
83,A7,2019,33049,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
84,A5,2016,17849,Semi-Auto,36787,Diesel,56.5,2.0,audi,30251123
85,A3,2017,14899,Manual,36967,Diesel,68.9,1.6,audi,29893665
86,A6,2019,23799,Semi-Auto,37547,Diesel,50.4,2.0,audi,30132206
87,A3,2019,20049,Semi-Auto,37612,Petrol,44.1,1.0,audi,30251051
88,A6,2019,27549,Semi-Auto,37793,Diesel,47.9,2.0,audi,30188217
89,Q2,2018,17549,Manual,38200,Petrol,None,1.4,audi,30208630
90,A3,2019,18049,Manual,38862,Petrol,47.1,1.0,audi,30240327
91,A6,2018,27549,Semi-Auto,38955,Diesel,47.9,2.0,audi,30196643
92,A3,2017,16549,Semi-Auto,38958,Diesel,70.6,1.6,audi,30251044
93,Q5,2019,33549,Semi-Auto,38974,Petrol,32.1,2.0,audi,30015311
94,Q3,2017,20599,Semi-Auto,39048,Diesel,51.4,2.0,audi,29854724
95,Q3,2016,17049,Manual,39263,Diesel,60.1,2.0,audi,30196732
96,A1,2016,10699,Manual,39286,Petrol,67.3,1.0,audi,29888454
97,A1,2018,14049,Manual,39306,Petrol,55.4,1.4,audi,30251239
98,A4,2016,13649,Manual,39774,Petrol,53.3,1.4,audi,30251183
99,Q3,2016,17049,Semi-Auto,40675,Diesel,54.3,2.0,audi,29981270
100,A1,2017,12399,Manual,40742,Petrol,67.3,1.0,audi,30225545
101,A3,2018,14649,Manual,40948,Diesel,49.6,1.6,audi,30090285
102,A3,2017,14849,Manual,41219,Petrol,60.1,1.4,audi,30196747
103,A1,2019,16899,Manual,41587,Petrol,46.3,1.5,audi,30015282
104,A1,2018,13849,Manual,41824,Petrol,55.4,1.4,audi,30251235
105,Q3,2017,16049,Manual,42187,Diesel,62.8,2.0,audi,30063499
106,Q2,2018,18299,Manual,42212,Petrol,50.4,1.4,audi,29981302
107,A3,2016,16049,Semi-Auto,42857,Hybrid,None,1.4,audi,30123790
108,Q2,2018,18549,Manual,43103,Petrol,50.4,1.4,audi,30207669
109,A6,2017,19699,Semi-Auto,43114,Diesel,61.4,2.0,audi,30003938
110,A5,2017,19699,Semi-Auto,43174,Diesel,68.9,2.0,audi,30010069
111,A3,2017,15549,Semi-Auto,43224,Petrol,58.9,1.4,audi,30188220
112,A1,2018,12799,Manual,43384,Petrol,57.7,1.4,audi,30003943
113,Q2,2017,20899,Manual,43634,Petrol,50.4,1.4,audi,30255929
114,Q3,2017,16549,Manual,43695,Petrol,51.4,1.4,audi,30251281
115,A3,2019,20049,Semi-Auto,43708,Diesel,50.4,2.0,audi,29826238
116,A3,2019,15549,Manual,43799,Diesel,53.3,1.6,audi,29855001
117,Q3,2017,19449,Semi-Auto,43801,Diesel,53.3,2.0,audi,30103530
118,A1,2017,15049,Manual,43926,Diesel,None,1.6,audi,30208494
119,A1,2015,11299,Manual,43927,Petrol,55.4,1.4,audi,30255979
120,A1,2017,14049,Manual,43994,Petrol,58.9,1.4,audi,30079748
121,Q2,2020,17849,Manual,44057,Diesel,49.6,1.6,audi,30240302
122,Q2,2018,17049,Manual,45252,Petrol,52.3,1.4,audi,30123769
123,A3,2019,19349,Manual,45406,Petrol,42.2,1.5,audi,30201104
124,A4,2019,20649,Semi-Auto,45544,Diesel,48.7,2.0,audi,30132577
125,A3,2017,16049,Manual,45574,Petrol,55.4,1.5,audi,29993451
126,A1,2018,12599,Manual,45733,Petrol,None,1.0,audi,30208668
127,A1,2016,13049,Manual,45878,Petrol,55.4,1.4,audi,29986761
128,A5,2017,21349,Semi-Auto,45913,Diesel,62.8,2.0,audi,29974659
129,A3,2019,14699,Manual,45933,Diesel,49.6,1.6,audi,30015317
130,Q3,2016,16899,Manual,46680,Diesel,52.3,2.0,audi,29694929
131,A3,2019,14399,Manual,47489,Diesel,49.6,1.6,audi,30132403
132,A3,2019,17049,Automatic,47518,Diesel,52.3,1.6,audi,30188176
133,A3,2019,16349,Manual,47520,Petrol,42.2,1.5,audi,30219151
134,Q3,2017,17149,Semi-Auto,47567,Petrol,47.9,1.4,audi,30219109
135,Q3,2019,22549,Manual,47696,Petrol,42.2,1.5,audi,30255937
136,Q2,2018,17549,Semi-Auto,47723,Diesel,68.9,1.6,audi,30250910
137,Q2,2017,15499,Manual,48296,Petrol,55.4,1.0,audi,30201120
138,A6,2019,23299,Semi-Auto,48355,Diesel,47.9,2.0,audi,29734218
139,Q2,2018,16049,Manual,48609,Petrol,55.4,1.0,audi,30219251
140,A3,2017,15899,Semi-Auto,33275,Petrol,58.9,1.4,audi,30132558
141,A3,2019,19699,Semi-Auto,33519,Petrol,42.2,1.5,audi,30015216
142,Q3,2017,20299,Semi-Auto,33520,Petrol,47.9,1.4,audi,30267242
143,A1,2018,15049,Manual,33668,Petrol,55.4,1.4,audi,30148621
144,A1,2018,14799,Semi-Auto,33770,Petrol,64.2,1.0,audi,30132530
145,Q2,2019,17849,Manual,33775,Diesel,49.6,1.6,audi,30251056
146,A1,2019,18499,Manual,33838,Petrol,46.3,1.5,audi,30075291
147,A6,2019,25049,Semi-Auto,34129,Diesel,50.4,2.0,audi,30075258
148,Q3,2017,17049,Manual,34191,Petrol,49.6,1.4,audi,29866285
149,Q2,2018,18199,Manual,34331,Petrol,53.3,1.0,audi,30063550
150,Q5,2018,25049,Semi-Auto,52068,Diesel,56.5,2.0,audi,30188177
151,A4,2018,21299,Semi-Auto,52072,Diesel,None,2.0,audi,30208725
152,Q2,2018,18649,Semi-Auto,52161,Petrol,54.3,1.4,audi,30255910
153,A3,2018,12899,Manual,52170,Diesel,70.6,1.6,audi,29888437
154,A1,2017,15049,Manual,52341,Petrol,70.6,1.4,audi,30178564
155,Q5,2016,19699,Semi-Auto,52626,Diesel,47.1,2.0,audi,30025588
156,A1,2018,15049,Manual,52738,Petrol,54.3,1.4,audi,30046115
157,A3,2018,18049,Manual,53108,Petrol,42.2,1.5,audi,30075274
158,Q2,2018,15749,Manual,53272,Diesel,49.6,1.6,audi,30148667
159,A3,2019,15549,Manual,53599,Petrol,42.2,1.5,audi,29924908
160,A3,2017,13699,Manual,53769,Diesel,68.9,1.6,audi,30075285
161,A3,2018,18049,Semi-Auto,54098,Petrol,56.5,1.5,audi,30178616
162,A3,2016,14949,Manual,54570,Diesel,68.9,1.6,audi,30255998
163,A4,2017,16549,Semi-Auto,54819,Diesel,72.4,2.0,audi,30123812
164,A1,2017,11699,Manual,54826,Petrol,56.5,1.4,audi,29974677
165,A1,2016,11249,Manual,55009,Petrol,67.3,1.0,audi,30132451
166,Q2,2017,17499,Semi-Auto,55052,Diesel,58.9,2.0,audi,30123848
167,A4,2015,11849,Manual,55070,Diesel,67.3,2.0,audi,30148600
168,A3,2016,15049,Manual,55540,Petrol,60.1,1.4,audi,30240299
169,A4,2017,16299,Semi-Auto,55540,Diesel,67.3,2.0,audi,29878689
170,A3,2017,14899,Manual,36967,Diesel,68.9,1.6,audi,29893665
171,A1,2018,12799,Manual,37100,Petrol,67.3,1.0,audi,30107744
172,A1,2016,16049,Semi-Auto,37451,Petrol,70.6,1.4,audi,30132440
173,A6,2019,23799,Semi-Auto,37547,Diesel,50.4,2.0,audi,30132206
174,A3,2019,20049,Semi-Auto,37612,Petrol,44.1,1.0,audi,30251051
175,A6,2019,27549,Semi-Auto,37793,Diesel,47.9,2.0,audi,30188217
176,A6,2019,24799,Semi-Auto,37885,Diesel,47.9,2.0,audi,29836472
177,A4,2018,20049,Semi-Auto,38035,Petrol,50.4,2.0,audi,30075244
178,A3,2019,19849,Semi-Auto,38046,Petrol,42.2,1.5,audi,30181519
179,Q2,2018,17549,Manual,38200,Petrol,None,1.4,audi,30208630
180,A3,2016,16199,Manual,38783,Petrol,57.6,1.4,audi,30188154
181,A3,2019,18049,Manual,38862,Petrol,47.1,1.0,audi,30240327
182,A6,2018,27549,Semi-Auto,38955,Diesel,47.9,2.0,audi,30196643
183,A3,2017,16549,Semi-Auto,38958,Diesel,70.6,1.6,audi,30251044
184,Q5,2019,33549,Semi-Auto,38974,Petrol,32.1,2.0,audi,30015311
185,Q3,2017,20599,Semi-Auto,39048,Diesel,51.4,2.0,audi,29854724
186,Q3,2017,22049,Semi-Auto,39259,Diesel,53.3,2.0,audi,30015209
187,Q3,2016,17049,Manual,39263,Diesel,60.1,2.0,audi,30196732
188,A1,2016,10699,Manual,39286,Petrol,67.3,1.0,audi,29888454
189,A1,2018,14049,Manual,39306,Petrol,55.4,1.4,audi,30251239
190,A3,2019,15549,Manual,39712,Petrol,43.5,1.5,audi,30113682
191,A4,2016,13649,Manual,39774,Petrol,53.3,1.4,audi,30251183
192,A3,2019,14799,Manual,40487,Petrol,48.7,1.0,audi,30079786
193,A3,2019,18449,Manual,40587,Petrol,47.1,1.0,audi,30155458
194,Q3,2016,17049,Semi-Auto,40675,Diesel,54.3,2.0,audi,29981270
195,A1,2017,12399,Manual,40742,Petrol,67.3,1.0,audi,30225545
196,A3,2018,14649,Manual,40948,Diesel,49.6,1.6,audi,30090285
197,A3,2017,14849,Manual,41219,Petrol,60.1,1.4,audi,30196747
198,A5,2017,19699,Semi-Auto,41356,Diesel,67.3,2.0,audi,30178753
199,A4,2017,16049,Manual,41415,Diesel,70.6,2.0,audi,30063538
200,A3,2017,16399,Semi-Auto,66154,Diesel,64.2,2.0,audi,30103602
201,A3,2018,13499,Manual,66701,Diesel,68.9,1.6,audi,29969160
202,TT,2016,14649,Manual,66853,Diesel,62.8,2.0,audi,30225417
203,A5,2018,20049,Semi-Auto,68297,Diesel,65.7,2.0,audi,30132556
204,A4,2017,15849,Manual,69125,Diesel,64.2,2.0,audi,30255899
205,Q2,2018,18699,Semi-Auto,69172,Petrol,52.3,1.4,audi,30132612
206,A3,2017,15999,Manual,69995,Diesel,67.3,2.0,audi,30063502
207,Q2,2021,23549,Manual,11696,Petrol,45.6,1.0,audi,29836479
208,A1,2020,20049,Manual,11720,Petrol,47.9,1.0,audi,30267181
209,A1,2019,15549,Manual,12218,Petrol,52.3,1.0,audi,29812468
210,A3,2016,16049,Semi-Auto,42857,Hybrid,None,1.4,audi,30123790
211,A3,2016,14799,Manual,42968,Diesel,68.9,1.6,audi,30161763
212,Q2,2018,18549,Manual,43103,Petrol,50.4,1.4,audi,30207669
213,A6,2017,19699,Semi-Auto,43114,Diesel,61.4,2.0,audi,30003938
214,A5,2017,19699,Semi-Auto,43174,Diesel,68.9,2.0,audi,30010069
215,S3,2018,24049,Semi-Auto,43195,Petrol,43.5,2.0,audi,29826258
216,A1,2017,12849,Manual,43213,Petrol,67.3,1.0,audi,30079771
217,A3,2017,15549,Semi-Auto,43224,Petrol,58.9,1.4,audi,30188220
218,A1,2018,12799,Manual,43384,Petrol,57.7,1.4,audi,30003943
219,A3,2017,18899,Semi-Auto,43420,Petrol,56.5,1.4,audi,30155445
220,A3,2017,15399,Manual,28369,Petrol,60.1,1.4,audi,30042371
221,Q5,2019,27049,Semi-Auto,28922,Diesel,38.2,2.0,audi,29563174
222,A3,2019,18549,Manual,29604,Diesel,51.4,1.6,audi,29812486
223,Q5,2019,28499,Semi-Auto,30970,Diesel,38.2,2.0,audi,29807992
224,Q2,2017,18699,Semi-Auto,31016,Petrol,54.3,1.4,audi,30042622
225,A6,2019,24799,Semi-Auto,37885,Diesel,47.9,2.0,audi,29836472
226,Q3,2017,22049,Semi-Auto,39259,Diesel,53.3,2.0,audi,30015209
227,A3,2016,13049,Manual,41606,Petrol,61.4,1.4,audi,30042448
228,A4,2016,13299,Manual,42185,Petrol,53.3,1.4,audi,30042236
229,A3,2017,17799,Semi-Auto,43510,Diesel,62.8,2.0,audi,30046214
230,A3,2017,17499,Manual,43871,Petrol,60.1,1.4,audi,30015333
231,A3,2019,15049,Manual,45107,Petrol,47.1,1.0,audi,29916102
232,Q3,2017,16399,Manual,45875,Diesel,57.7,2.0,audi,29943286
233,TT,2017,16799,Manual,45962,Petrol,46.3,2.0,audi,29986777
234,A7,2017,19799,Semi-Auto,47131,Diesel,52.3,3.0,audi,29768385
235,A3,2016,12749,Semi-Auto,48356,Diesel,70.6,1.6,audi,30181500
236,Q2,2019,17049,Manual,48853,Petrol,42.8,1.5,audi,29958114
237,Q2,2017,16549,Semi-Auto,48889,Petrol,54.3,1.4,audi,30267236
238,A1,2018,13449,Manual,49874,Petrol,54.3,1.4,audi,29847194
239,A4,2019,18949,Semi-Auto,50758,Diesel,50.4,2.0,audi,30042517
240,A3,2016,16049,Semi-Auto,51198,Diesel,57.6,2.0,audi,30046144
241,A3,2017,14199,Manual,51809,Diesel,67.3,2.0,audi,30003933
242,A1,2017,15699,Semi-Auto,54208,Petrol,70.6,1.4,audi,30015263
243,Q3,2018,16449,Manual,56145,Petrol,51.4,1.4,audi,30046197
244,A4,2016,17649,Semi-Auto,56692,Diesel,65.7,2.0,audi,30196776
245,A4,2019,19699,Semi-Auto,57130,Diesel,48.7,2.0,audi,30050256
246,A3,2018,13899,Manual,57630,Petrol,47.1,1.0,audi,29916131
247,A3,2017,13699,Manual,59586,Diesel,67.3,2.0,audi,29826159
248,A3,2016,12949,Manual,59607,Diesel,68.9,1.6,audi,29916120
249,Q5,2017,20899,Semi-Auto,59819,Diesel,56.5,2.0,audi,29916044
250,A3,2019,14399,Manual,47489,Diesel,49.6,1.6,audi,30132403
251,A3,2019,17049,Automatic,47518,Diesel,52.3,1.6,audi,30188176
252,A3,2019,16349,Manual,47520,Petrol,42.2,1.5,audi,30219151
253,Q3,2017,17149,Semi-Auto,47567,Petrol,47.9,1.4,audi,30219109
254,Q3,2019,22549,Manual,47696,Petrol,42.2,1.5,audi,30255937
255,Q2,2018,17549,Semi-Auto,47723,Diesel,68.9,1.6,audi,30250910
256,Q2,2018,20899,Manual,48044,Petrol,50.4,1.4,audi,30103742
257,Q2,2017,15499,Manual,48296,Petrol,55.4,1.0,audi,30201120
258,A6,2019,23299,Semi-Auto,48355,Diesel,47.9,2.0,audi,29734218
259,A3,2016,12749,Semi-Auto,48356,Diesel,70.6,1.6,audi,30181500
260,A3,2018,14349,Manual,48470,Petrol,56.5,1.5,audi,30107861
261,Q2,2018,16049,Manual,48609,Petrol,55.4,1.0,audi,30219251
262,Q2,2019,17049,Manual,48853,Petrol,42.8,1.5,audi,29958114
263,Q2,2017,16549,Semi-Auto,48889,Petrol,54.3,1.4,audi,30267236
264,A6,2019,27799,Semi-Auto,49071,Diesel,47.9,2.0,audi,30155515
265,A3,2017,20049,Semi-Auto,49237,Diesel,56.5,2.0,audi,30090217
266,Q5,2017,23549,Automatic,49389,Diesel,56.5,2.0,audi,30196642
267,Q3,2017,19699,Manual,49627,Diesel,54.3,2.0,audi,30004010
268,A3,2018,15349,Manual,49801,Diesel,51.4,1.6,audi,30255903
269,A1,2018,13449,Manual,49874,Petrol,54.3,1.4,audi,29847194
270,A3,2018,16549,Semi-Auto,49980,Diesel,70.6,1.6,audi,29831180
271,A3,2018,17499,Manual,50031,Petrol,54.3,1.5,audi,30113677
272,Q2,2017,17249,Manual,50044,Petrol,52.3,1.4,audi,30219146
273,A3,2019,14799,Manual,50047,Petrol,47.1,1.0,audi,30107723
274,A4,2019,26049,Semi-Auto,50329,Diesel,44.1,2.0,audi,30251121
275,A3,2019,14899,Manual,50409,Diesel,49.6,1.6,audi,30251186
276,A4,2019,18949,Semi-Auto,50758,Diesel,50.4,2.0,audi,30042517
277,A3,2019,18299,Semi-Auto,50829,Petrol,43.5,1.5,audi,29905939
278,A3,2018,19349,Semi-Auto,50892,Diesel,62.8,2.0,audi,30240292
279,A3,2016,16549,Semi-Auto,51089,Petrol,55.4,1.4,audi,29826164
280,A3,2016,16049,Semi-Auto,51198,Diesel,57.6,2.0,audi,30046144
281,A6,2019,23849,Semi-Auto,51200,Diesel,47.9,2.0,audi,29866423
282,A1,2017,11899,Manual,51262,Petrol,55.4,1.4,audi,29958117
283,A3,2017,16349,Manual,51400,Petrol,49.6,2.0,audi,30161821
284,TT,2016,18049,Semi-Auto,51641,Petrol,43.5,2.0,audi,30090286
285,A3,2017,14199,Manual,51809,Diesel,67.3,2.0,audi,30003933
286,Q5,2018,25049,Semi-Auto,52068,Diesel,56.5,2.0,audi,30188177
287,A4,2018,21299,Semi-Auto,52072,Diesel,None,2.0,audi,30208725
288,Q2,2018,18649,Semi-Auto,52161,Petrol,54.3,1.4,audi,30255910
289,A3,2018,12899,Manual,52170,Diesel,70.6,1.6,audi,29888437
290,A1,2017,15049,Manual,52341,Petrol,70.6,1.4,audi,30178564
291,Q5,2016,19699,Semi-Auto,52626,Diesel,47.1,2.0,audi,30025588
292,A1,2018,15049,Manual,52738,Petrol,54.3,1.4,audi,30046115
293,TT,2016,15349,Manual,52815,Diesel,62.8,2.0,audi,30178435
294,A4,2016,13599,Manual,52984,Diesel,74.3,2.0,audi,30178803
295,A3,2018,18049,Manual,53108,Petrol,42.2,1.5,audi,30075274
296,Q2,2018,15749,Manual,53272,Diesel,49.6,1.6,audi,30148667
297,A1,2016,12549,Manual,53377,Petrol,58.9,1.4,audi,30084520
298,A1,2016,12599,Manual,53430,Petrol,55.4,1.4,audi,30077128
299,A3,2019,15549,Manual,53599,Petrol,42.2,1.5,audi,29924908
300,Q3,2018,19799,Manual,32182,Diesel,56.5,2.0,audi,30113679
301,A3,2018,16549,Semi-Auto,32433,Diesel,54.3,1.6,audi,30178915
302,Q5,2019,26549,Semi-Auto,32793,Diesel,39.2,2.0,audi,30079583
303,A1,2016,14549,Semi-Auto,32980,Petrol,58.9,1.4,audi,30075223
304,Q2,2019,18499,Manual,33181,Petrol,42.8,1.5,audi,30107785
305,A1,2019,18499,Manual,33838,Petrol,46.3,1.5,audi,30075291
306,A6,2019,25049,Semi-Auto,34129,Diesel,50.4,2.0,audi,30075258
307,Q3,2017,17049,Manual,34191,Petrol,49.6,1.4,audi,29866285
308,Q2,2018,18199,Manual,34331,Petrol,53.3,1.0,audi,30063550
309,Q2,2019,17199,Manual,34349,Diesel,49.6,1.6,audi,30107781
310,A3,2019,19799,Manual,34366,Petrol,42.2,1.5,audi,30084534
311,A1,2017,13549,Manual,34430,Petrol,56.5,1.4,audi,30107790
312,A1,2018,13049,Manual,34584,Petrol,57.7,1.4,audi,30075337
313,A3,2018,18999,Semi-Auto,34928,Diesel,52.3,1.6,audi,30075350
314,A1,2018,14049,Manual,34979,Petrol,55.4,1.4,audi,30181598
315,A3,2017,16049,Semi-Auto,35020,Diesel,70.6,1.6,audi,29786359
316,A1,2017,16399,Semi-Auto,35878,Diesel,70.6,1.6,audi,30015262
317,A3,2019,19299,Manual,36183,Diesel,51.4,1.6,audi,30090207
318,A3,2018,16799,Manual,36665,Petrol,42.2,1.5,audi,29812524
319,A1,2017,15499,Manual,36961,Petrol,None,1.4,audi,30208678
320,A1,2018,12799,Manual,37100,Petrol,67.3,1.0,audi,30107744
321,A1,2016,16049,Semi-Auto,37451,Petrol,70.6,1.4,audi,30132440
322,A4,2018,20049,Semi-Auto,38035,Petrol,50.4,2.0,audi,30075244
323,A3,2019,19849,Semi-Auto,38046,Petrol,42.2,1.5,audi,30181519
324,A3,2016,16199,Manual,38783,Petrol,57.6,1.4,audi,30188154
325,A3,2019,15549,Manual,39712,Petrol,43.5,1.5,audi,30113682
326,A3,2019,14799,Manual,40487,Petrol,48.7,1.0,audi,30079786
327,A3,2019,18449,Manual,40587,Petrol,47.1,1.0,audi,30155458
328,A5,2017,19699,Semi-Auto,41356,Diesel,67.3,2.0,audi,30178753
329,A4,2017,16049,Manual,41415,Diesel,70.6,2.0,audi,30063538
330,A3,2019,14549,Manual,41686,Petrol,48.7,1.0,audi,30075372
331,A3,2017,14749,Manual,41934,Diesel,67.3,2.0,audi,30219191
332,A1,2017,15549,Semi-Auto,41973,Diesel,70.6,1.6,audi,30118248
333,A3,2018,19049,Semi-Auto,42106,Petrol,42.2,1.5,audi,30168012
334,A3,2016,14799,Manual,42968,Diesel,68.9,1.6,audi,30161763
335,S3,2018,24049,Semi-Auto,43195,Petrol,43.5,2.0,audi,29826258
336,A1,2017,12849,Manual,43213,Petrol,67.3,1.0,audi,30079771
337,A3,2017,18899,Semi-Auto,43420,Petrol,56.5,1.4,audi,30155445
338,A6,2018,20049,Semi-Auto,43898,Petrol,40.9,2.0,audi,29709688
339,A3,2018,14749,Manual,43922,Diesel,65.7,2.0,audi,30161898
340,Q2,2017,22299,Semi-Auto,44255,Diesel,58.9,2.0,audi,30178825
341,A3,2018,14249,Manual,44356,Diesel,49.6,1.6,audi,30095392
342,A1,2017,11609,Manual,47390,Diesel,76.4,1.6,audi,30265563
343,Q2,2018,20899,Manual,48044,Petrol,50.4,1.4,audi,30103742
344,A3,2018,14349,Manual,48470,Petrol,56.5,1.5,audi,30107861
345,A6,2019,27799,Semi-Auto,49071,Diesel,47.9,2.0,audi,30155515
346,A3,2017,20049,Semi-Auto,49237,Diesel,56.5,2.0,audi,30090217
347,A3,2018,16549,Semi-Auto,49980,Diesel,70.6,1.6,audi,29831180
348,A3,2018,17499,Manual,50031,Petrol,54.3,1.5,audi,30113677
349,A3,2019,14799,Manual,50047,Petrol,47.1,1.0,audi,30107723
